period,seniority_3level,n,n_ai,ai_rate
2024-01,junior,238,3.0,0.012605042016806723
2024-01,mid,39,1.0,0.02564102564102564
2024-01,senior,11604,219.0,0.018872802481902793
2024-01,unknown,6210,127.0,0.020450885668276974
2024-04,junior,177,9.0,0.05084745762711865
2024-04,mid,15,0.0,0.0
2024-04,senior,2025,79.0,0.03901234567901234
2024-04,unknown,2451,77.0,0.031415748674010605
2026-03,junior,628,142.0,0.22611464968152867
2026-03,mid,51,11.0,0.21568627450980393
2026-03,senior,5624,1387.0,0.24662162162162163
2026-03,unknown,5390,1155.0,0.21428571428571427
2026-04,junior,561,128.0,0.2281639928698752
2026-04,mid,69,16.0,0.2318840579710145
2026-04,senior,6534,1811.0,0.27716559534741353
2026-04,unknown,6698,1487.0,0.22200656912511196
