period,seniority_3level,n,mean_raw_len,mean_core_len
2024-01,junior,238,3365.424369747899,1946.8025210084033
2024-01,mid,39,3799.051282051282,2159.4102564102564
2024-01,senior,11633,4171.049686237428,2423.468413341377
2024-01,unknown,6215,3362.102011263073,2094.5237634928308
2024-04,junior,177,3476.598870056497,1852.8135593220338
2024-04,mid,15,4297.466666666666,2586.5333333333333
2024-04,senior,2030,3734.0507389162563,2164.99209486166
2024-04,unknown,2465,2939.7415821501013,1808.8725490196077
2026-03,junior,636,5283.787735849057,2236.3073248407645
2026-03,mid,52,5887.326923076923,2779.156862745098
2026-03,senior,5691,5462.998067123528,2849.1041963015646
2026-03,unknown,5431,4578.7186521819185,2417.586827458256
2026-04,junior,567,4810.001763668431,2298.0017825311943
2026-04,mid,69,5453.811594202899,2668.1739130434785
2026-04,senior,6612,5370.856775559589,2871.3525807933834
2026-04,unknown,6764,4388.686723832052,2399.0660194174757
