company_name_canonical,n_2024,n_2026,n_ai_2024,n_ai_2026,ai_rate_2024,ai_rate_2026,delta
"Pyramid Consulting, Inc",8.0,11.0,0.0,2.0,0.0,0.18181818181818182,0.18181818181818182
ECS,7.0,12.0,1.0,0.0,0.14285714285714285,0.0,-0.14285714285714285
Prudential Financial,11.0,8.0,0.0,2.0,0.0,0.25,0.25
VDart,9.0,10.0,0.0,4.0,0.0,0.4,0.4
Shield AI,12.0,6.0,0.0,1.0,0.0,0.16666666666666666,0.16666666666666666
AllSTEM Connections,11.0,7.0,0.0,0.0,0.0,0.0,0.0
SMX,5.0,13.0,0.0,0.0,0.0,0.0,0.0
"Intelliforce-IT Solutions Group, LLC.",8.0,10.0,0.0,1.0,0.0,0.1,0.1
Ascendion,13.0,5.0,0.0,2.0,0.0,0.4,0.4
Supermicro,6.0,12.0,0.0,1.0,0.0,0.08333333333333333,0.08333333333333333
Signify Technology,6.0,12.0,0.0,0.0,0.0,0.0,0.0
GE HealthCare,10.0,8.0,1.0,0.0,0.1,0.0,-0.1
Trane Technologies,9.0,9.0,0.0,0.0,0.0,0.0,0.0
GM Financial,6.0,12.0,0.0,2.0,0.0,0.16666666666666666,0.16666666666666666
The Depository Trust & Clearing Corporation (DTCC),5.0,13.0,0.0,0.0,0.0,0.0,0.0
DRW,7.0,11.0,0.0,0.0,0.0,0.0,0.0
Pacific Life,7.0,10.0,0.0,0.0,0.0,0.0,0.0
Two Six Technologies,7.0,10.0,0.0,0.0,0.0,0.0,0.0
AMERICAN SYSTEMS,10.0,7.0,0.0,0.0,0.0,0.0,0.0
American Express,7.0,10.0,0.0,6.0,0.0,0.6,0.6
Innovative Defense Technologies (IDT),10.0,7.0,0.0,2.0,0.0,0.2857142857142857,0.2857142857142857
AbbVie,10.0,7.0,1.0,3.0,0.1,0.42857142857142855,0.3285714285714285
SynergisticIT,6.0,11.0,0.0,0.0,0.0,0.0,0.0
Snap Inc.,7.0,10.0,1.0,3.0,0.14285714285714285,0.3,0.15714285714285714
The Hartford,9.0,8.0,0.0,6.0,0.0,0.75,0.75
Unisys,5.0,11.0,2.0,6.0,0.4,0.5454545454545454,0.1454545454545454
Archer,5.0,11.0,0.0,2.0,0.0,0.18181818181818182,0.18181818181818182
Huntington National Bank,7.0,9.0,0.0,3.0,0.0,0.3333333333333333,0.3333333333333333
Empower Professionals,10.0,6.0,0.0,0.0,0.0,0.0,0.0
Blizzard Entertainment,10.0,6.0,0.0,0.0,0.0,0.0,0.0
Acro Service Corp,8.0,8.0,0.0,0.0,0.0,0.0,0.0
SciTec,8.0,8.0,0.0,0.0,0.0,0.0,0.0
Genentech,5.0,11.0,1.0,8.0,0.2,0.7272727272727273,0.5272727272727273
Lumicity,11.0,5.0,0.0,2.0,0.0,0.4,0.4
MongoDB,5.0,11.0,0.0,1.0,0.0,0.09090909090909091,0.09090909090909091
NiCE,9.0,7.0,0.0,2.0,0.0,0.2857142857142857,0.2857142857142857
Phaxis,10.0,5.0,0.0,2.0,0.0,0.4,0.4
Eclaro,7.0,8.0,0.0,1.0,0.0,0.125,0.125
Cox Automotive Inc.,7.0,8.0,0.0,4.0,0.0,0.5,0.5
"VMC Soft Technologies, Inc",6.0,9.0,0.0,0.0,0.0,0.0,0.0
Confidential,10.0,5.0,0.0,0.0,0.0,0.0,0.0
Entegee,7.0,8.0,0.0,0.0,0.0,0.0,0.0
Ridgeline,9.0,6.0,0.0,6.0,0.0,1.0,1.0
Innova Solutions,6.0,9.0,0.0,5.0,0.0,0.5555555555555556,0.5555555555555556
Amentum,9.0,6.0,1.0,0.0,0.1111111111111111,0.0,-0.1111111111111111
Curtiss-Wright Corporation,10.0,5.0,0.0,0.0,0.0,0.0,0.0
Avid Technology Professionals,8.0,7.0,0.0,0.0,0.0,0.0,0.0
Lennar,8.0,7.0,0.0,2.0,0.0,0.2857142857142857,0.2857142857142857
York Space Systems,7.0,8.0,0.0,0.0,0.0,0.0,0.0
PepsiCo,10.0,5.0,0.0,2.0,0.0,0.4,0.4
Bristol Myers Squibb,8.0,6.0,0.0,5.0,0.0,0.8333333333333334,0.8333333333333334
Apexon,9.0,5.0,0.0,0.0,0.0,0.0,0.0
OSI Engineering,6.0,8.0,0.0,2.0,0.0,0.25,0.25
Ampcus Inc,5.0,9.0,0.0,0.0,0.0,0.0,0.0
NBCUniversal,7.0,7.0,1.0,0.0,0.14285714285714285,0.0,-0.14285714285714285
Siri InfoSolutions Inc,8.0,6.0,0.0,0.0,0.0,0.0,0.0
"Akraya, Inc.",5.0,9.0,0.0,2.0,0.0,0.2222222222222222,0.2222222222222222
"Softworld, a Kelly Company",9.0,5.0,0.0,0.0,0.0,0.0,0.0
Renesas Electronics,7.0,7.0,0.0,0.0,0.0,0.0,0.0
FanDuel,5.0,8.0,0.0,1.0,0.0,0.125,0.125
Mitchell Martin Inc.,5.0,8.0,0.0,0.0,0.0,0.0,0.0
State Street,6.0,7.0,0.0,0.0,0.0,0.0,0.0
Rockstar Games,8.0,5.0,0.0,0.0,0.0,0.0,0.0
VySystems,6.0,7.0,0.0,0.0,0.0,0.0,0.0
QinetiQ US,8.0,5.0,0.0,0.0,0.0,0.0,0.0
OneTrust,8.0,5.0,0.0,2.0,0.0,0.4,0.4
DivIHN Integration Inc,7.0,6.0,0.0,1.0,0.0,0.16666666666666666,0.16666666666666666
Themesoft Inc.,5.0,8.0,0.0,1.0,0.0,0.125,0.125
Inceed,7.0,6.0,0.0,2.0,0.0,0.3333333333333333,0.3333333333333333
