period,role_class,n,n_ai,n_metros,ai_rate
2024-01,builder,253,95.0,32,0.37549407114624506
2024-01,general,12597,281.0,86,0.02230689846788918
2024-01,unlabeled,39,0.0,19,0.0
2024-04,builder,72,39.0,19,0.5416666666666666
2024-04,general,2679,68.0,73,0.0253826054497947
2024-04,unlabeled,17,1.0,11,0.058823529411764705
2026-03,builder,919,668.0,26,0.7268770402611534
2026-03,general,7559,1558.0,26,0.20611191956608016
2026-03,unlabeled,92,23.0,24,0.25
2026-04,builder,1223,946.0,26,0.7735077677841373
2026-04,general,9171,1990.0,26,0.2169883327881365
2026-04,unlabeled,124,34.0,21,0.27419354838709675
