yr,n_total_orig,n_topic1_orig,n_total_excl,n_topic1_excl,pct_topic1_orig,pct_topic1_excl
2024,17784,436.0,17570.0,430.0,2.4516419253261357,2.4473534433693795
2026,19219,2449.0,18857.0,2368.0,12.742598470263802,12.557670891446147
