token,raw_bay_pct,raw_rest_pct,raw_gap_pp,core_bay_pct,core_rest_pct,core_gap_pp,gap_change_pp,flips_sign
openai,15.643564356435643,9.535218016291328,6.108346340144316,12.14017521902378,10.664433277498604,1.4757419415251758,-4.63260439861914,False
agentic,27.722772277227726,23.478677527551508,4.244094749676217,26.783479349186486,25.851479620323843,0.9319997288626425,-3.312095020813574,False
ai agent,6.03960396039604,2.539530426449449,3.5000735339465905,3.128911138923655,2.6242322724734786,0.5046788664501762,-2.9953946674964143,False
llm,29.7029702970297,26.25778629611883,3.4451840009108725,34.79349186483104,29.81574539363484,4.977746471196198,1.5325624702853258,False
anthropic,4.9504950495049505,3.689506468615237,1.2609885808897139,5.256570713391739,3.908431044109436,1.3481396692823036,0.08715108839258967,False
foundation model,1.3861386138613863,0.287494010541447,1.098644603319939,1.1264080100125156,0.33500837520938026,0.7913996348031354,-0.3072449685168037,False
mlops,4.455445544554455,9.199808337326305,-4.744362792771851,5.381727158948686,10.60859854829704,-5.2268713893483545,-0.4825085965765039,False
claude,8.415841584158416,14.03929084810733,-5.623449263948914,10.262828535669586,16.024567280848686,-5.7617387451791,-0.1382894812301858,False
rag,9.702970297029703,15.764254911356012,-6.0612846143263095,11.889862327909889,18.090452261306535,-6.200589933396645,-0.13930531907033572,False
prompt engineering,6.633663366336634,13.464302827024438,-6.830639460687804,8.1351689612015,15.466219988833055,-7.3310510276315535,-0.5004115669437494,False
github copilot,2.277227722772277,10.972688068998563,-8.695460346226286,2.753441802252816,12.674483528754884,-9.921041726502068,-1.2255813802757825,False
copilot,7.326732673267326,19.501677048394825,-12.174944375127499,7.759699624530664,22.110552763819097,-14.350853139288432,-2.1759087641609334,False
