period,n,token,count,rate,n_titles_in_period
2026-03,1,development,30,0.02912621359223301,1030
2026-03,1,devops,28,0.027184466019417475,1030
2026-03,1,java,27,0.02621359223300971,1030
2026-03,1,security,26,0.02524271844660194,1030
2026-03,1,and,25,0.024271844660194174,1030
2026-03,1,backend,23,0.02233009708737864,1030
2026-03,1,application,23,0.02233009708737864,1030
2026-03,1,ai/ml,23,0.02233009708737864,1030
2026-03,1,engineering,22,0.021359223300970873,1030
2026-03,1,starlink,21,0.020388349514563107,1030
2026-03,1,c,20,0.019417475728155338,1030
2026-03,1,android,20,0.019417475728155338,1030
2026-03,1,sr,18,0.017475728155339806,1030
2026-03,1,reliability,18,0.017475728155339806,1030
2026-03,1,level,18,0.017475728155339806,1030
2026-03,1,system,17,0.01650485436893204,1030
2026-03,1,staff,17,0.01650485436893204,1030
2026-03,1,in,17,0.01650485436893204,1030
2026-03,1,automation,16,0.015533980582524271,1030
2026-03,1,mobile,16,0.015533980582524271,1030
2026-03,1,hybrid,16,0.015533980582524271,1030
2026-03,1,3,15,0.014563106796116505,1030
2026-03,1,product,14,0.013592233009708738,1030
2026-03,1,ios,14,0.013592233009708738,1030
2026-03,1,site,14,0.013592233009708738,1030
2026-03,1,full-stack,13,0.01262135922330097,1030
2026-03,1,platforms,12,0.011650485436893204,1030
2026-03,1,remote,12,0.011650485436893204,1030
2026-03,1,founding,12,0.011650485436893204,1030
2026-03,1,applied,11,0.010679611650485437,1030
2026-03,1,end,11,0.010679611650485437,1030
2026-03,1,lead,11,0.010679611650485437,1030
2026-04,1,engineer,1071,0.9037974683544304,1185
2026-04,1,software,681,0.5746835443037974,1185
2026-04,1,ai,100,0.08438818565400844,1185
2026-04,1,developer,95,0.08016877637130802,1185
2026-04,1,iii,92,0.07763713080168777,1185
2026-04,1,systems,78,0.06582278481012659,1185
2026-04,1,senior,71,0.059915611814345994,1185
2026-04,1,data,69,0.05822784810126582,1185
2026-04,1,full,62,0.05232067510548523,1185
2026-04,1,stack,61,0.05147679324894515,1185
2026-04,1,infrastructure,56,0.04725738396624472,1185
2026-04,1,embedded,49,0.04135021097046414,1185
2026-04,1,learning,49,0.04135021097046414,1185
2026-04,1,test,49,0.04135021097046414,1185
2026-04,1,machine,47,0.039662447257383965,1185
2026-04,1,cloud,45,0.0379746835443038,1185
2026-04,1,and,42,0.035443037974683546,1185
2026-04,1,application,41,0.03459915611814346,1185
2026-04,1,google,36,0.030379746835443037,1185
2026-04,1,backend,33,0.027848101265822784,1185
2026-04,1,ai/ml,30,0.02531645569620253,1185
2026-04,1,reliability,29,0.024472573839662448,1185
2026-04,1,platform,29,0.024472573839662448,1185
2026-04,1,engineering,29,0.024472573839662448,1185
2026-04,1,site,27,0.02278481012658228,1185
2026-04,1,devops,26,0.021940928270042195,1185
2026-04,1,development,25,0.02109704641350211,1185
2026-04,1,web,24,0.020253164556962026,1185
2026-04,1,starlink,23,0.019409282700421943,1185
2026-04,1,automation,20,0.016877637130801686,1185
2026-04,1,staff,20,0.016877637130801686,1185
2026-04,1,product,19,0.016033755274261603,1185
2026-04,1,system,17,0.014345991561181435,1185
2026-04,1,mobile,17,0.014345991561181435,1185
2026-04,1,aws,17,0.014345991561181435,1185
2026-04,1,java,16,0.01350210970464135,1185
2026-04,1,android,15,0.012658227848101266,1185
2026-04,1,sr,15,0.012658227848101266,1185
2026-04,1,ii,15,0.012658227848101266,1185
2026-04,1,mid,15,0.012658227848101266,1185
2026-04,1,in,13,0.010970464135021098,1185
2026-04,1,founding,13,0.010970464135021098,1185
2026-04,1,secret,12,0.010126582278481013,1185
2026-04,1,core,12,0.010126582278481013,1185
2026-04,1,usds,12,0.010126582278481013,1185
2026-04,1,ios,11,0.009282700421940928,1185
2026-04,1,specialist,11,0.009282700421940928,1185
2026-04,1,end,11,0.009282700421940928,1185
2026-04,1,platforms,11,0.009282700421940928,1185
2026-04,1,full-stack,10,0.008438818565400843,1185
