period,n,token,count,rate,n_titles_in_period
2024-01,3,senior software engineer,96,0.08921933085501858,1076
2024-01,3,software engineer iii,49,0.04553903345724907,1076
2024-01,3,embedded software engineer,27,0.02509293680297398,1076
2024-01,3,with security clearance,26,0.024163568773234202,1076
2024-01,3,full stack developer,16,0.01486988847583643,1076
2024-01,3,software development engineer,15,0.013940520446096654,1076
2024-01,3,senior data engineer,13,0.012081784386617101,1076
2024-01,3,site reliability engineer,13,0.012081784386617101,1076
2024-01,3,usa software engineer,13,0.012081784386617101,1076
2024-01,3,engineer with security,12,0.011152416356877323,1076
2024-01,3,principal systems engineer,10,0.00929368029739777,1076
2024-01,3,full stack software,9,0.008364312267657992,1076
2024-01,3,software engineer backend,9,0.008364312267657992,1076
2024-01,3,sr systems engineer,9,0.008364312267657992,1076
2024-01,3,principal software engineer,9,0.008364312267657992,1076
2024-01,3,quality assurance engineer,9,0.008364312267657992,1076
2024-01,3,staff software engineer,8,0.007434944237918215,1076
2024-01,3,stack software engineer,8,0.007434944237918215,1076
2024-01,3,machine learning engineer,8,0.007434944237918215,1076
2024-01,3,software engineer principal,8,0.007434944237918215,1076
2024-01,3,software test engineer,8,0.007434944237918215,1076
2024-01,3,systems engineer principal,8,0.007434944237918215,1076
2024-01,3,lead software engineer,7,0.006505576208178439,1076
2024-01,3,frontend software engineer,7,0.006505576208178439,1076
2024-01,3,senior systems engineer,7,0.006505576208178439,1076
2024-01,3,sr software engineer,7,0.006505576208178439,1076
2024-01,3,software engineer c,7,0.006505576208178439,1076
2024-01,3,software engineer e,6,0.0055762081784386614,1076
2024-01,3,systems engineer top,6,0.0055762081784386614,1076
2024-01,3,engineer top secret,6,0.0055762081784386614,1076
2024-01,3,it systems engineer,6,0.0055762081784386614,1076
2024-01,3,engineer full stack,6,0.0055762081784386614,1076
2024-01,3,full stack engineer,6,0.0055762081784386614,1076
2024-01,3,c software engineer,6,0.0055762081784386614,1076
2024-01,3,usa senior software,6,0.0055762081784386614,1076
2024-01,3,systems and infrastructure,5,0.004646840148698885,1076
2024-01,3,and infrastructure engineer,5,0.004646840148698885,1076
2024-01,3,platform engineer workday,5,0.004646840148698885,1076
2024-01,3,senior site reliability,5,0.004646840148698885,1076
2024-01,3,engineer iii frontend,5,0.004646840148698885,1076
2024-01,3,senior software developer,5,0.004646840148698885,1076
2024-01,3,cyber systems engineer,5,0.004646840148698885,1076
2024-01,3,software engineer biotech,5,0.004646840148698885,1076
2024-01,3,engineer biotech instrumentation,5,0.004646840148698885,1076
2024-01,3,systems engineer senior,5,0.004646840148698885,1076
2024-01,3,senior system engineer,5,0.004646840148698885,1076
2024-01,3,software engineer full,5,0.004646840148698885,1076
2024-01,3,engineer principal systems,5,0.004646840148698885,1076
2024-01,3,engineer level 2,5,0.004646840148698885,1076
2024-01,3,data engineer level,5,0.004646840148698885,1076
2024-04,3,senior software engineer,13,0.03757225433526012,346
2024-04,3,software development engineer,9,0.02601156069364162,346
2024-04,3,site reliability engineer,8,0.023121387283236993,346
2024-04,3,machine learning engineer,7,0.02023121387283237,346
2024-04,3,quality assurance engineer,5,0.014450867052023121,346
2024-04,3,senior data engineer,4,0.011560693641618497,346
2024-04,3,data engineer aws,4,0.011560693641618497,346
2024-04,3,engineer aws python,4,0.011560693641618497,346
2024-04,3,aws python airflow,4,0.011560693641618497,346
2024-04,3,python airflow rds,4,0.011560693641618497,346
2024-04,3,software engineer full,3,0.008670520231213872,346
2024-04,3,engineer full stack,3,0.008670520231213872,346
2024-04,3,sales application engineer,3,0.008670520231213872,346
2024-04,3,application engineer remote,3,0.008670520231213872,346
2024-04,3,software engineer iii,3,0.008670520231213872,346
2024-04,3,software engineer hybrid,3,0.008670520231213872,346
2024-04,3,reliability engineer federal,3,0.008670520231213872,346
2024-04,3,big data engineer,2,0.005780346820809248,346
2024-04,3,data engineer azure,2,0.005780346820809248,346
2024-04,3,engineer azure python,2,0.005780346820809248,346
2024-04,3,azure python sql,2,0.005780346820809248,346
2024-04,3,with security clearance,2,0.005780346820809248,346
2024-04,3,back end developer,2,0.005780346820809248,346
2024-04,3,full stack engineer,2,0.005780346820809248,346
2024-04,3,java software engineer,2,0.005780346820809248,346
2024-04,3,mbse systems engineer,2,0.005780346820809248,346
2024-04,3,embedded software engineer,2,0.005780346820809248,346
2024-04,3,senior product engineer,2,0.005780346820809248,346
2024-04,3,enterprise application developer,2,0.005780346820809248,346
2024-04,3,software dev engineer,2,0.005780346820809248,346
2024-04,3,senior java developer,2,0.005780346820809248,346
2024-04,3,database software engineer,2,0.005780346820809248,346
2024-04,3,full stack net,2,0.005780346820809248,346
2024-04,3,stack net developer,2,0.005780346820809248,346
2024-04,3,software engineer test,2,0.005780346820809248,346
2024-04,3,engineer test 3748,2,0.005780346820809248,346
2024-04,3,sr software engineer,2,0.005780346820809248,346
2024-04,3,software quality assurance,2,0.005780346820809248,346
2024-04,3,founding front-end engineer,1,0.002890173410404624,346
2024-04,3,front-end engineer web,1,0.002890173410404624,346
2024-04,3,cloud platform big,1,0.002890173410404624,346
2024-04,3,platform big data,1,0.002890173410404624,346
2024-04,3,data science software,1,0.002890173410404624,346
2024-04,3,science software engineer,1,0.002890173410404624,346
2024-04,3,mobile application developer,1,0.002890173410404624,346
2024-04,3,senior machine learning,1,0.002890173410404624,346
2024-04,3,machine learning research,1,0.002890173410404624,346
2024-04,3,learning research engineer,1,0.002890173410404624,346
2024-04,3,robotics software engineer,1,0.002890173410404624,346
2024-04,3,software engineer perception,1,0.002890173410404624,346
