period,tier,n,n_ai,ai_rate,slice
2024-01,big_tech,425,20.0,0.047058823529411764,baseline
2024-01,rest,17666,330.0,0.0186799501867995,baseline
2024-04,big_tech,143,11.0,0.07692307692307693,baseline
2024-04,rest,4525,154.0,0.03403314917127072,baseline
2026-03,big_tech,855,315.0,0.3684210526315789,baseline
2026-03,rest,10838,2380.0,0.21959771175493634,baseline
2026-04,big_tech,976,369.0,0.3780737704918033,baseline
2026-04,rest,12886,3073.0,0.238475865280149,baseline
2024-04,big_tech,143,11.0,0.07692307692307693,slice_a_arshkon_only_2024
2024-04,rest,4525,154.0,0.03403314917127072,slice_a_arshkon_only_2024
2026-03,big_tech,855,315.0,0.3684210526315789,slice_a_arshkon_only_2024
2026-03,rest,10838,2380.0,0.21959771175493634,slice_a_arshkon_only_2024
2026-04,big_tech,976,369.0,0.3780737704918033,slice_a_arshkon_only_2024
2026-04,rest,12886,3073.0,0.238475865280149,slice_a_arshkon_only_2024
2024-01,big_tech,382,17.0,0.04450261780104712,slice_b_metro_balanced
2024-01,rest,12485,229.0,0.018342010412494995,slice_b_metro_balanced
2024-04,big_tech,108,9.0,0.08333333333333333,slice_b_metro_balanced
2024-04,rest,2649,80.0,0.03020007550018875,slice_b_metro_balanced
2026-03,big_tech,658,251.0,0.38145896656534956,slice_b_metro_balanced
2026-03,rest,7845,1668.0,0.21261950286806883,slice_b_metro_balanced
2026-04,big_tech,796,318.0,0.39949748743718594,slice_b_metro_balanced
2026-04,rest,9615,2256.0,0.23463338533541342,slice_b_metro_balanced
2024-01,big_tech,425,20.0,0.047058823529411764,slice_c_no_aggregator
2024-01,rest,14733,279.0,0.018937080024434942,slice_c_no_aggregator
2024-04,big_tech,143,11.0,0.07692307692307693,slice_c_no_aggregator
2024-04,rest,4097,141.0,0.03441542592140591,slice_c_no_aggregator
2026-03,big_tech,839,310.0,0.3694874851013111,slice_c_no_aggregator
2026-03,rest,8802,1963.0,0.223017496023631,slice_c_no_aggregator
2026-04,big_tech,976,369.0,0.3780737704918033,slice_c_no_aggregator
2026-04,rest,10551,2570.0,0.243578807695953,slice_c_no_aggregator
2024-01,big_tech,401,18.0,0.04488778054862843,slice_d_no_multi_location
2024-01,rest,16796,299.0,0.01780185758513932,slice_d_no_multi_location
2024-04,big_tech,136,11.0,0.08088235294117647,slice_d_no_multi_location
2024-04,rest,4416,146.0,0.03306159420289855,slice_d_no_multi_location
2026-03,big_tech,679,257.0,0.3784977908689249,slice_d_no_multi_location
2026-03,rest,10000,2137.0,0.2137,slice_d_no_multi_location
2026-04,big_tech,820,320.0,0.3902439024390244,slice_d_no_multi_location
2026-04,rest,12075,2835.0,0.23478260869565218,slice_d_no_multi_location
