period,group_label,n,n_ai,ai_rate,slice
2024-01,control,24842,6.0,0.00024152644714596247,baseline
2024-01,swe,18091,350.0,0.01934663644906307,baseline
2024-04,control,8594,0.0,0.0,baseline
2024-04,swe,4668,165.0,0.03534704370179949,baseline
2026-03,control,6614,26.0,0.003931055337163592,baseline
2026-03,swe,11693,2695.0,0.23047977422389465,baseline
2026-04,control,7197,45.0,0.006252605252188412,baseline
2026-04,swe,13862,3442.0,0.24830471793392006,baseline
2024-04,control,8594,0.0,0.0,slice_a_arshkon_only_2024
2024-04,swe,4668,165.0,0.03534704370179949,slice_a_arshkon_only_2024
2026-03,control,6614,26.0,0.003931055337163592,slice_a_arshkon_only_2024
2026-03,swe,11693,2695.0,0.23047977422389465,slice_a_arshkon_only_2024
2026-04,control,7197,45.0,0.006252605252188412,slice_a_arshkon_only_2024
2026-04,swe,13862,3442.0,0.24830471793392006,slice_a_arshkon_only_2024
2024-01,control,14555,1.0,6.870491240123669e-05,slice_b_metro_balanced
2024-01,swe,12867,246.0,0.01911867568197715,slice_b_metro_balanced
2024-04,control,4774,0.0,0.0,slice_b_metro_balanced
2024-04,swe,2757,89.0,0.03228146536089953,slice_b_metro_balanced
2026-03,control,5732,21.0,0.00366364270760642,slice_b_metro_balanced
2026-03,swe,8503,1919.0,0.2256850523344702,slice_b_metro_balanced
2026-04,control,6370,30.0,0.004709576138147566,slice_b_metro_balanced
2026-04,swe,10411,2574.0,0.24723849774277207,slice_b_metro_balanced
2024-01,control,23434,6.0,0.0002560382350430998,slice_c_no_aggregator
2024-01,swe,15158,299.0,0.01972555746140652,slice_c_no_aggregator
2024-04,control,8136,0.0,0.0,slice_c_no_aggregator
2024-04,swe,4240,152.0,0.035849056603773584,slice_c_no_aggregator
2026-03,control,6000,25.0,0.004166666666666667,slice_c_no_aggregator
2026-03,swe,9641,2273.0,0.2357639249040556,slice_c_no_aggregator
2026-04,control,6709,45.0,0.006707407959457445,slice_c_no_aggregator
2026-04,swe,11527,2939.0,0.25496660015615513,slice_c_no_aggregator
2024-01,control,23662,3.0,0.00012678556335051982,slice_d_no_multi_location
2024-01,swe,17197,317.0,0.018433447694365297,slice_d_no_multi_location
2024-04,control,8487,0.0,0.0,slice_d_no_multi_location
2024-04,swe,4552,157.0,0.034490333919156416,slice_d_no_multi_location
2026-03,control,6359,23.0,0.003616920899512502,slice_d_no_multi_location
2026-03,swe,10679,2394.0,0.22417829384773855,slice_d_no_multi_location
2026-04,control,6960,40.0,0.005747126436781609,slice_d_no_multi_location
2026-04,swe,12895,3155.0,0.2446684761535479,slice_d_no_multi_location
