period,n,n_tech,n_nontech,n_null,nontech_share_of_labeled
2024-01,18129,0.0,0.0,18129.0,
2024-04,4691,2109.0,2544.0,38.0,0.5467440361057382
2026-03,19740,8748.0,10987.0,5.0,0.5567266278185964
2026-04,25577,11801.0,13769.0,7.0,0.5384825967931169
