period,seniority_3level,n
2024-01,junior,238
2024-01,mid,39
2024-01,senior,11634
2024-01,unknown,6218
2024-04,junior,177
2024-04,mid,15
2024-04,senior,2031
2024-04,unknown,2468
2026-03,junior,847
2026-03,mid,52
2026-03,senior,8809
2026-03,unknown,10032
2026-04,junior,803
2026-04,mid,69
2026-04,senior,11219
2026-04,unknown,13486
