source,source_platform,period,seniority_final,n
kaggle_arshkon,linkedin,2024-04,associate,97
kaggle_arshkon,linkedin,2024-04,director,5326
kaggle_arshkon,linkedin,2024-04,entry,3747
kaggle_arshkon,linkedin,2024-04,mid-senior,11876
kaggle_arshkon,linkedin,2024-04,unknown,89573
kaggle_asaniczka,linkedin,2024-01,associate,102
kaggle_asaniczka,linkedin,2024-01,director,10124
kaggle_asaniczka,linkedin,2024-01,entry,5956
kaggle_asaniczka,linkedin,2024-01,mid-senior,113721
kaggle_asaniczka,linkedin,2024-01,unknown,762651
scraped,indeed,2026-03,director,3479
scraped,indeed,2026-03,entry,2293
scraped,indeed,2026-03,mid-senior,10699
scraped,indeed,2026-03,unknown,42132
scraped,indeed,2026-04,director,6737
scraped,indeed,2026-04,entry,3994
scraped,indeed,2026-04,mid-senior,20356
scraped,indeed,2026-04,unknown,79004
scraped,linkedin,2026-03,associate,134
scraped,linkedin,2026-03,director,4309
scraped,linkedin,2026-03,entry,4485
scraped,linkedin,2026-03,mid-senior,32331
scraped,linkedin,2026-03,unknown,80343
scraped,linkedin,2026-04,associate,135
scraped,linkedin,2026-04,director,5212
scraped,linkedin,2026-04,entry,4692
scraped,linkedin,2026-04,mid-senior,41981
scraped,linkedin,2026-04,unknown,107386
