firm,n_2024,n_2026,n_total
TikTok,10.0,13.0,23
Microsoft AI,0.0,22.0,22
Harnham,6.0,12.0,18
ByteDance,7.0,9.0,16
TikTok USDS Joint Venture,0.0,15.0,15
Scale AI,0.0,14.0,14
Anthropic,0.0,13.0,13
Microsoft,2.0,11.0,13
Jack & Jill,0.0,12.0,12
Acceler8 Talent,1.0,11.0,12
Stripe,8.0,4.0,12
Thomson Reuters,0.0,11.0,11
Capital One,3.0,8.0,11
Deloitte,0.0,10.0,10
Intuit,1.0,9.0,10
Synechron,0.0,10.0,10
Workday,0.0,9.0,9
Pinterest,2.0,7.0,9
Stealth Startup,1.0,7.0,8
Giga,0.0,8.0,8
