company,n_2024,n_2026,n_ai_raw_2024,n_ai_raw_2026,n_ai_core_2024,n_ai_core_2026,rate_raw_2024,rate_raw_2026,rate_core_2024,rate_core_2026,delta_raw,delta_core,bp_2024,bp_2026,bp_share_change
AMD,25,57,4,11,4,9,0.16,0.19298245614035087,0.16,0.15789473684210525,0.03298245614035086,-0.002105263157894749,0.5005502234385615,0.3893410797989495,-0.11120914363961198
AMERICAN SYSTEMS,10,7,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.42623901632688577,0.26286017323669797,-0.1633788430901878
AT&T,9,12,1,8,1,8,0.1111111111111111,0.6666666666666666,0.1111111111111111,0.6666666666666666,0.5555555555555556,0.5555555555555556,0.4012039813969662,0.41474145986917255,0.013537478472206321
AbbVie,10,7,1,3,1,3,0.1,0.42857142857142855,0.1,0.42857142857142855,0.3285714285714285,0.3285714285714285,0.2664749015632,0.4366818308420759,0.17020692927887593
Abbott,55,21,1,1,1,1,0.01818181818181818,0.047619047619047616,0.01818181818181818,0.047619047619047616,0.029437229437229435,0.029437229437229435,0.43365679599961227,0.3882303934562804,-0.045426402543331856
Accenture,12,30,1,9,1,9,0.08333333333333333,0.3,0.08333333333333333,0.3,0.21666666666666667,0.21666666666666667,0.7277765096756195,0.7403315814697784,0.012555071794158934
Acro Service Corp,8,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.10642244377463483,0.10557055485150701,-0.0008518889231278193
Actalent,39,153,0,3,0,3,0.0,0.0196078431372549,0.0,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.4500975776086594,0.520161239530545,0.07006366192188562
Addison Group,8,12,0,4,0,4,0.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.13421428571428573,0.26163001669206765,0.12741573097778192
Aditi Consulting,28,16,0,16,0,1,0.0,1.0,0.0,0.0625,1.0,0.0625,0.22960254339722297,0.5973448381469793,0.3677422947497563
Adobe,18,90,4,62,3,56,0.2222222222222222,0.6888888888888889,0.16666666666666666,0.6222222222222222,0.4666666666666667,0.4555555555555556,0.5699353945546839,0.6695018532858787,0.09956645873119485
Adyen,5,6,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.5633906847410497,0.5159653422624184,-0.04742534247863128
Agility Partners,6,5,0,1,0,1,0.0,0.2,0.0,0.2,0.2,0.2,0.39931910653491653,0.2538095700281472,-0.14550953650676934
Agoda,11,14,2,0,2,0,0.18181818181818182,0.0,0.18181818181818182,0.0,-0.18181818181818182,-0.18181818181818182,0.6024612326624867,0.571272820556672,-0.0311884121058148
Akkodis,44,35,4,5,4,5,0.09090909090909091,0.14285714285714285,0.09090909090909091,0.14285714285714285,0.05194805194805194,0.05194805194805194,0.3951297692446073,0.38962454333190155,-0.005505225912705747
"Akraya, Inc.",5,9,0,2,0,2,0.0,0.2222222222222222,0.0,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.34563832124807736,0.3712527817777196,0.025614460529642225
AllSTEM Connections,11,7,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2165527343749999,0.1709269453950304,-0.045625788979969495
Amazon,173,214,4,81,3,75,0.023121387283236993,0.37850467289719625,0.017341040462427744,0.35046728971962615,0.35538328561395927,0.3331262492571984,0.47989856812788645,0.4816583086600972,0.0017597405322107296
Amazon Web Services (AWS),109,220,4,67,4,54,0.03669724770642202,0.30454545454545456,0.03669724770642202,0.24545454545454545,0.26784820683903254,0.20875729774812343,0.5599140816904156,0.5811467961050982,0.021232714414682663
Amentum,9,6,1,0,1,0,0.1111111111111111,0.0,0.1111111111111111,0.0,-0.1111111111111111,-0.1111111111111111,0.32257509087430636,0.5059922043167142,0.18341711344240785
American Express,7,12,0,7,0,6,0.0,0.5833333333333334,0.0,0.5,0.5833333333333334,0.5,0.6437716299709124,0.5585219001060406,-0.08524972986487178
Ampcus Inc,5,9,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.11025035427491736,0.19500793054512067,0.0847575762702033
Ampstek,16,18,1,2,1,2,0.0625,0.1111111111111111,0.0625,0.1111111111111111,0.048611111111111105,0.048611111111111105,0.2800684764000978,0.1475998802435049,-0.1324685961565929
Amtex Systems Inc.,13,11,0,1,0,1,0.0,0.09090909090909091,0.0,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.1275981524249422,0.09047321242443196,-0.037124940000510254
Anduril Industries,52,160,51,158,4,27,0.9807692307692307,0.9875,0.07692307692307693,0.16875,0.006730769230769318,0.09182692307692308,0.5558363653295911,0.6517963951883978,0.0959600298588067
Apex Systems,78,104,1,25,1,24,0.01282051282051282,0.2403846153846154,0.01282051282051282,0.23076923076923078,0.22756410256410256,0.21794871794871795,0.5369783437562088,0.7260161898093882,0.18903784605317941
Apexon,9,5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.5132682759801404,0.4087924457507348,-0.10447583022940554
Archer,5,12,0,3,0,2,0.0,0.25,0.0,0.16666666666666666,0.25,0.16666666666666666,0.4543627386726089,0.5430141405372344,0.0886514018646255
Ascendion,13,5,0,2,0,2,0.0,0.4,0.0,0.4,0.4,0.4,0.6636423261915172,0.5427939006394491,-0.1208484255520681
Aurora,8,18,0,4,0,4,0.0,0.2222222222222222,0.0,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.7593640116190186,0.5688435412497534,-0.19052047036926512
Avid Technology Professionals,8,7,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.6058652729384437,0.12622740856695613,-0.4796378643714876
Axiom Space,5,5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.4230210467498603,0.4127221889354903,-0.01029885781437001
"BAE Systems, Inc.",52,83,0,2,0,2,0.0,0.024096385542168676,0.0,0.024096385542168676,0.024096385542168676,0.024096385542168676,0.5782007078494973,0.5885114228396344,0.010310714990137138
