period,n,n_new_ai,new_ai_share
2024-01,18125,285.0,0.01572413793103448
2024-04,4687,134.0,0.028589716236398548
2026-03,11810,962.0,0.08145639288738357
2026-04,14012,1143.0,0.08157293748215814
