period,is_aggregator,n,n_junior,junior_rate
2024-01,False,15181,78.0,0.005138001449179896
2024-01,True,2943,12.0,0.004077471967380225
2024-04,False,4257,43.0,0.010101010101010102
2024-04,True,430,5.0,0.011627906976744186
2026-03,False,9740,61.0,0.006262833675564682
2026-03,True,2068,31.0,0.014990328820116054
2026-04,False,11660,98.0,0.008404802744425385
2026-04,True,2347,12.0,0.0051129100979974435
