family_id,n,n_2024,n_2026,growth_ratio,n_swe,n_swe_adjacent,share_swe,ai_rate,ai_rate_2024,ai_rate_2026,top_terms,auto_name
0,18473,7225,11248,1.5567395516191531,12922,5551,0.6995073891625616,0.28728414442700156,0.07557093425605536,0.42327524893314367,"data, experience, ai, business, design, technical, development, solutions, engineering, years",data/experience/ai
1,5816,2179,3637,1.6688073394495413,3823,1993,0.65732462173315,0.11055708390646492,0.009637448370812299,0.17102007148748968,"security, cloud, experience, infrastructure, aws, engineering, systems, azure, management, tools",security/cloud/experience
2,3741,2133,1608,0.7539831302717901,2922,819,0.781074578989575,0.024325046778936113,0.004219409282700422,0.05099502487562189,"software, experience, systems, development, design, engineering, requirements, embedded, technical, work",software/experience/systems
3,1682,868,814,0.9378596087456847,134,1548,0.07966706302021404,0.039239001189060645,0.001152073732718894,0.07985257985257985,"test, testing, automation, experience, quality, software, qa, automated, tools, development",test/testing/automation
4,889,371,518,1.3951612903225807,882,7,0.9921259842519685,0.0798650168728909,0.0026954177897574125,0.13513513513513514,"mobile, android, ios, experience, app, native, development, design, applications, react native",mobile/android/ios
5,623,192,431,2.238341968911917,546,77,0.8764044943820225,0.18459069020866772,0.10416666666666667,0.22041763341067286,"experience, learning, software, robotics, systems, computer, models, perception, ml, machine",experience/learning/software
6,389,172,217,1.260115606936416,343,46,0.8817480719794345,0.13110539845758354,0.011627906976744186,0.22580645161290322,"software, experience, development, medical, design, engineering, systems, team, healthcare, product",software/experience/development
7,281,127,154,1.2109375,268,13,0.9537366548042705,0.046263345195729534,0.007874015748031496,0.07792207792207792,"trading, systems, experience, software, traders, trading systems, work, rust, strong, python",trading/systems/experience
8,185,96,89,0.9278350515463918,162,23,0.8756756756756757,0.05405405405405406,0.0,0.11235955056179775,"software, experience, swe, years, years experience, development, design, degree, requirements, bachelors degree",software/experience/swe
9,127,43,84,1.9318181818181819,120,7,0.9448818897637795,0.18110236220472442,0.0,0.27380952380952384,"ad, ads, experience, advertising, systems, team, video, services, streaming, design",ad/ads/experience
10,47,24,23,0.96,33,14,0.7021276595744681,0.10638297872340426,0.041666666666666664,0.17391304347826086,"experience, infosys, years, servicenow, implementation, face, consider years, year education, lieu year, institution consider",experience/infosys/years
