period,group_label,n,n_remote,n_agg,n_ai,remote_rate,agg_rate,ai_rate
2024-01,adjacent,9393,2.0,1410.0,197.0,0.00021292451825827744,0.15011178537208558,0.020973065048440327
2024-01,control,24842,0.0,1408.0,6.0,0.0,0.05667820626358586,0.00024152644714596247
2024-01,swe,18091,1.0,2933.0,350.0,5.52761041401802e-05,0.16212481344314852,0.01934663644906307
2024-04,adjacent,2385,0.0,254.0,78.0,0.0,0.10649895178197065,0.03270440251572327
2024-04,control,8594,0.0,458.0,0.0,0.0,0.053292995112869446,0.0
2024-04,swe,4668,0.0,428.0,165.0,0.0,0.09168808911739502,0.03534704370179949
2026-03,adjacent,5560,1298.0,924.0,1094.0,0.23345323741007193,0.16618705035971224,0.19676258992805756
2026-03,control,6614,671.0,614.0,26.0,0.10145146658602963,0.09283338373147867,0.003931055337163592
2026-03,swe,11693,2500.0,2052.0,2695.0,0.21380313007782434,0.17548960916787823,0.23047977422389465
2026-04,adjacent,7249,1499.0,1231.0,1619.0,0.20678714305421436,0.16981652641743689,0.22334115050351772
2026-04,control,7197,629.0,488.0,45.0,0.0873975267472558,0.06780603029039878,0.006252605252188412
2026-04,swe,13862,2767.0,2335.0,3442.0,0.19961044582311355,0.16844611167219736,0.24830471793392006
