period,n,n_positive,rate,slice,finalist
2024-01,18091,350.0,0.01934663644906307,baseline,S1_H1_ai_vocab
2024-04,4668,165.0,0.03534704370179949,baseline,S1_H1_ai_vocab
2026-03,11693,2695.0,0.23047977422389465,baseline,S1_H1_ai_vocab
2026-04,13862,3442.0,0.24830471793392006,baseline,S1_H1_ai_vocab
2024-04,4668,165.0,0.03534704370179949,slice_a_arshkon_only_2024,S1_H1_ai_vocab
2026-03,11693,2695.0,0.23047977422389465,slice_a_arshkon_only_2024,S1_H1_ai_vocab
2026-04,13862,3442.0,0.24830471793392006,slice_a_arshkon_only_2024,S1_H1_ai_vocab
2024-01,7409,192.0,0.021757366529583634,slice_b_metro_balanced,S1_H1_ai_vocab
2024-04,1602,62.0,0.04551874721254815,slice_b_metro_balanced,S1_H1_ai_vocab
2026-03,5957,1424.0,0.22719660698761848,slice_b_metro_balanced,S1_H1_ai_vocab
2026-04,7343,1913.0,0.2549348974255842,slice_b_metro_balanced,S1_H1_ai_vocab
2024-01,15158,299.0,0.01972555746140652,slice_c_no_aggregator,S1_H1_ai_vocab
2024-04,4240,152.0,0.035849056603773584,slice_c_no_aggregator,S1_H1_ai_vocab
2026-03,9641,2273.0,0.2357639249040556,slice_c_no_aggregator,S1_H1_ai_vocab
2026-04,11527,2939.0,0.25496660015615513,slice_c_no_aggregator,S1_H1_ai_vocab
2024-01,17197,317.0,0.018433447694365297,slice_d_no_multi_location,S1_H1_ai_vocab
2024-04,4552,157.0,0.034490333919156416,slice_d_no_multi_location,S1_H1_ai_vocab
2026-03,10679,2394.0,0.22417829384773855,slice_d_no_multi_location,S1_H1_ai_vocab
2026-04,12895,3155.0,0.2446684761535479,slice_d_no_multi_location,S1_H1_ai_vocab
