period,tier,n,n_ai_raw,n_ai_core,rate_raw,rate_core
2024-01,big_tech,426,24.0,20.0,0.056338028169014086,0.046948356807511735
2024-01,rest,17699,509.0,330.0,0.028758686931465053,0.018645121193287758
2024-04,big_tech,143,14.0,11.0,0.0979020979020979,0.07692307692307693
2024-04,rest,4544,196.0,154.0,0.043133802816901406,0.03389084507042254
2026-03,big_tech,865,345.0,315.0,0.3988439306358382,0.36416184971098264
2026-03,rest,10945,2807.0,2380.0,0.2564641388761992,0.21745089081772498
2026-04,big_tech,986,434.0,369.0,0.44016227180527384,0.3742393509127789
2026-04,rest,13026,3552.0,3071.0,0.27268539843390144,0.23575925072931062
