archetype,archetype_name,period_group,n_total,n_known_seniority,junior_share_of_known,n_junior,n_yoe_known,yoe_le2_share
0,LLM / GenAI / ML engineering,2024,105,59,0.06779661016949153,4,57,0.15789473684210525
0,LLM / GenAI / ML engineering,2026-03,403,257,0.39299610894941633,101,218,0.23394495412844038
0,LLM / GenAI / ML engineering,2026-04,428,256,0.19921875,51,256,0.2265625
1,Defense & cleared regulated work,2024,285,110,0.12727272727272726,14,199,0.24623115577889448
1,Defense & cleared regulated work,2026-03,171,64,0.15625,10,125,0.232
1,Defense & cleared regulated work,2026-04,167,81,0.19753086419753085,16,118,0.2457627118644068
2,DevOps / SRE / platform,2024,204,97,0.010309278350515464,1,122,0.09016393442622951
2,DevOps / SRE / platform,2026-03,206,94,0.11702127659574468,11,138,0.11594202898550725
2,DevOps / SRE / platform,2026-04,210,110,0.10909090909090909,12,147,0.12244897959183673
3,JS frontend (React/TypeScript),2024,181,94,0.09574468085106383,9,102,0.16666666666666666
3,JS frontend (React/TypeScript),2026-03,156,84,0.17857142857142858,15,93,0.17204301075268819
3,JS frontend (React/TypeScript),2026-04,167,101,0.16831683168316833,17,92,0.10869565217391304
4,Java enterprise (Spring/microservices),2024,186,95,0.06315789473684211,6,124,0.11290322580645161
4,Java enterprise (Spring/microservices),2026-03,105,52,0.1346153846153846,7,72,0.1527777777777778
4,Java enterprise (Spring/microservices),2026-04,118,63,0.1111111111111111,7,72,0.1111111111111111
5,Data engineering (Spark/ETL),2024,125,52,0.038461538461538464,2,76,0.09210526315789473
5,Data engineering (Spark/ETL),2026-03,138,90,0.2,18,89,0.16853932584269662
5,Data engineering (Spark/ETL),2026-04,120,73,0.0821917808219178,6,75,0.12
6,Embedded / firmware,2024,84,29,0.06896551724137931,2,54,0.18518518518518517
6,Embedded / firmware,2026-03,105,68,0.22058823529411764,15,67,0.14925373134328357
6,Embedded / firmware,2026-04,90,51,0.09803921568627451,5,71,0.2112676056338028
7,.NET / ASP.NET full-stack,2024,113,65,0.03076923076923077,2,75,0.09333333333333334
7,.NET / ASP.NET full-stack,2026-03,31,17,0.23529411764705882,4,19,0.10526315789473684
7,.NET / ASP.NET full-stack,2026-04,49,23,0.21739130434782608,5,27,0.14814814814814814
8,Agile/Scrum generalist,2024,75,42,0.14285714285714285,6,52,0.17307692307692307
8,Agile/Scrum generalist,2026-03,34,22,0.2727272727272727,6,23,0.21739130434782608
8,Agile/Scrum generalist,2026-04,48,30,0.23333333333333334,7,32,0.1875
9,iOS / Swift mobile,2024,29,9,0.1111111111111111,1,14,0.07142857142857142
9,iOS / Swift mobile,2026-03,42,26,0.19230769230769232,5,26,0.19230769230769232
9,iOS / Swift mobile,2026-04,29,18,0.2222222222222222,4,17,0.23529411764705882
10,AWS cloud SDE (Amazon template),2024,44,14,0.0,0,31,0.16129032258064516
10,AWS cloud SDE (Amazon template),2026-03,21,11,0.18181818181818182,2,18,0.16666666666666666
10,AWS cloud SDE (Amazon template),2026-04,27,14,0.0,0,25,0.12
11,QA / test automation,2024,31,13,0.0,0,24,0.125
11,QA / test automation,2026-03,23,7,0.42857142857142855,3,17,0.23529411764705882
11,QA / test automation,2026-04,28,14,0.0,0,19,0.15789473684210525
12,Azure data platform,2024,23,16,0.0,0,13,0.07692307692307693
12,Azure data platform,2026-03,21,9,0.1111111111111111,1,9,0.1111111111111111
12,Azure data platform,2026-04,13,5,0.0,0,9,0.1111111111111111
13,Amazon program boilerplate,2024,16,11,0.36363636363636365,4,12,0.4166666666666667
13,Amazon program boilerplate,2026-03,23,13,0.6153846153846154,8,17,0.5294117647058824
13,Amazon program boilerplate,2026-04,17,13,0.23076923076923078,3,13,0.38461538461538464
14,US gov SCI-cleared SWE,2024,3,2,0.0,0,3,0.0
14,US gov SCI-cleared SWE,2026-03,19,9,0.2222222222222222,2,7,0.14285714285714285
14,US gov SCI-cleared SWE,2026-04,32,13,0.07692307692307693,1,8,0.0
15,GPU / CUDA / systems perf,2024,9,3,0.3333333333333333,1,6,0.3333333333333333
15,GPU / CUDA / systems perf,2026-03,20,10,0.2,2,11,0.45454545454545453
15,GPU / CUDA / systems perf,2026-04,22,13,0.0,0,16,0.0625
16,Python web backend (Django/Flask),2024,24,8,0.25,2,7,0.42857142857142855
16,Python web backend (Django/Flask),2026-03,14,10,0.1,1,8,0.0
16,Python web backend (Django/Flask),2026-04,12,9,0.2222222222222222,2,7,0.14285714285714285
17,AWS cloud generic template,2024,23,20,0.0,0,23,0.043478260869565216
17,AWS cloud generic template,2026-03,11,9,0.1111111111111111,1,10,0.0
17,AWS cloud generic template,2026-04,8,8,0.0,0,7,0.0
18,Android / Kotlin mobile,2024,8,4,0.0,0,7,0.2857142857142857
18,Android / Kotlin mobile,2026-03,12,5,0.0,0,8,0.25
18,Android / Kotlin mobile,2026-04,18,10,0.3,3,8,0.0
19,Generic JS/Python boilerplate,2024,19,10,0.0,0,14,0.21428571428571427
19,Generic JS/Python boilerplate,2026-03,7,4,0.25,1,5,0.2
19,Generic JS/Python boilerplate,2026-04,12,8,0.125,1,8,0.375
