archetype,archetype_name,period_group,n,share_noagg
0,LLM / GenAI / ML engineering,2024,917,0.04943396226415094
0,LLM / GenAI / ML engineering,2026-03,1130,0.21814671814671815
0,LLM / GenAI / ML engineering,2026-04,1106,0.2151750972762646
1,Defense & cleared regulated work,2024,4957,0.26722371967654984
1,Defense & cleared regulated work,2026-03,600,0.11583011583011583
1,Defense & cleared regulated work,2026-04,608,0.11828793774319066
2,DevOps / SRE / platform,2024,2174,0.1171967654986523
2,DevOps / SRE / platform,2026-03,819,0.1581081081081081
2,DevOps / SRE / platform,2026-04,789,0.15350194552529184
3,JS frontend (React/TypeScript),2024,1850,0.09973045822102426
3,JS frontend (React/TypeScript),2026-03,569,0.10984555984555984
3,JS frontend (React/TypeScript),2026-04,536,0.10428015564202335
4,Java enterprise (Spring/microservices),2024,2002,0.1079245283018868
4,Java enterprise (Spring/microservices),2026-03,437,0.08436293436293436
4,Java enterprise (Spring/microservices),2026-04,427,0.08307392996108949
5,Data engineering (Spark/ETL),2024,1195,0.06442048517520216
5,Data engineering (Spark/ETL),2026-03,378,0.07297297297297298
5,Data engineering (Spark/ETL),2026-04,357,0.06945525291828794
6,Embedded / firmware,2024,1310,0.07061994609164421
6,Embedded / firmware,2026-03,303,0.05849420849420849
6,Embedded / firmware,2026-04,296,0.05758754863813229
7,.NET / ASP.NET full-stack,2024,1087,0.05859838274932615
7,.NET / ASP.NET full-stack,2026-03,97,0.018725868725868726
7,.NET / ASP.NET full-stack,2026-04,139,0.027042801556420235
8,Agile/Scrum generalist,2024,918,0.04948787061994609
8,Agile/Scrum generalist,2026-03,180,0.03474903474903475
8,Agile/Scrum generalist,2026-04,189,0.036770428015564204
9,iOS / Swift mobile,2024,191,0.010296495956873316
9,iOS / Swift mobile,2026-03,95,0.01833976833976834
9,iOS / Swift mobile,2026-04,74,0.014396887159533073
10,AWS cloud SDE (Amazon template),2024,526,0.02835579514824798
10,AWS cloud SDE (Amazon template),2026-03,127,0.024517374517374516
10,AWS cloud SDE (Amazon template),2026-04,138,0.026848249027237352
11,QA / test automation,2024,266,0.014339622641509434
11,QA / test automation,2026-03,63,0.012162162162162163
11,QA / test automation,2026-04,72,0.014007782101167316
12,Azure data platform,2024,141,0.0076010781671159025
12,Azure data platform,2026-03,40,0.007722007722007722
12,Azure data platform,2026-04,39,0.007587548638132296
13,Amazon program boilerplate,2024,222,0.011967654986522911
13,Amazon program boilerplate,2026-03,109,0.021042471042471044
13,Amazon program boilerplate,2026-04,93,0.018093385214007784
14,US gov SCI-cleared SWE,2024,218,0.011752021563342319
14,US gov SCI-cleared SWE,2026-03,48,0.009266409266409266
14,US gov SCI-cleared SWE,2026-04,88,0.017120622568093387
15,GPU / CUDA / systems perf,2024,96,0.005175202156334231
15,GPU / CUDA / systems perf,2026-03,44,0.008494208494208495
15,GPU / CUDA / systems perf,2026-04,53,0.010311284046692607
16,Python web backend (Django/Flask),2024,185,0.009973045822102426
16,Python web backend (Django/Flask),2026-03,43,0.008301158301158301
16,Python web backend (Django/Flask),2026-04,52,0.010116731517509728
17,AWS cloud generic template,2024,131,0.0070619946091644206
17,AWS cloud generic template,2026-03,45,0.008687258687258687
17,AWS cloud generic template,2026-04,33,0.006420233463035019
18,Android / Kotlin mobile,2024,72,0.003881401617250674
18,Android / Kotlin mobile,2026-03,30,0.005791505791505791
18,Android / Kotlin mobile,2026-04,27,0.005252918287937744
19,Generic JS/Python boilerplate,2024,92,0.004959568733153639
19,Generic JS/Python boilerplate,2026-03,23,0.00444015444015444
19,Generic JS/Python boilerplate,2026-04,24,0.004669260700389105
