source,period,seniority_3level,text_source,n
kaggle_arshkon,2024-04,junior,llm,94
kaggle_arshkon,2024-04,mid,llm,7
kaggle_arshkon,2024-04,senior,llm,1183
kaggle_arshkon,2024-04,unknown,llm,1394
scraped,2026-03,junior,llm,336
scraped,2026-03,mid,llm,26
scraped,2026-03,senior,llm,1060
scraped,2026-03,unknown,llm,1087
scraped,2026-04,junior,llm,228
scraped,2026-04,mid,llm,25
scraped,2026-04,senior,llm,1161
scraped,2026-04,unknown,llm,1129
