archetype,archetype_name,period_group,n,share_strict_tier
0,LLM / GenAI / ML engineering,2024,957,0.04945225299710624
0,LLM / GenAI / ML engineering,2026-03,1260,0.2112321877619447
0,LLM / GenAI / ML engineering,2026-04,1211,0.20686709941920053
1,Defense & cleared regulated work,2024,4745,0.2451942951632906
1,Defense & cleared regulated work,2026-03,623,0.10444258172673931
1,Defense & cleared regulated work,2026-04,598,0.10215237444482406
2,DevOps / SRE / platform,2024,2438,0.12598181066556427
2,DevOps / SRE / platform,2026-03,927,0.155406538139145
2,DevOps / SRE / platform,2026-04,936,0.15989067304407242
3,JS frontend (React/TypeScript),2024,1901,0.0982327408019843
3,JS frontend (React/TypeScript),2026-03,678,0.11366303436714166
3,JS frontend (React/TypeScript),2026-04,631,0.10778954560983943
4,Java enterprise (Spring/microservices),2024,2092,0.10810252170318313
4,Java enterprise (Spring/microservices),2026-03,554,0.09287510477787092
4,Java enterprise (Spring/microservices),2026-04,568,0.09702767338571916
5,Data engineering (Spark/ETL),2024,1278,0.06603968582058702
5,Data engineering (Spark/ETL),2026-03,471,0.07896060352053647
5,Data engineering (Spark/ETL),2026-04,459,0.07840792620430474
6,Embedded / firmware,2024,1257,0.0649545266639107
6,Embedded / firmware,2026-03,360,0.06035205364626991
6,Embedded / firmware,2026-04,323,0.05517594806969593
7,.NET / ASP.NET full-stack,2024,1134,0.058598594460520875
7,.NET / ASP.NET full-stack,2026-03,130,0.02179379715004191
7,.NET / ASP.NET full-stack,2026-04,185,0.03160232319781346
8,Agile/Scrum generalist,2024,946,0.04888383629599008
8,Agile/Scrum generalist,2026-03,209,0.03503772003352892
8,Agile/Scrum generalist,2026-04,204,0.03484796720191322
9,iOS / Swift mobile,2024,212,0.010954940057875156
9,iOS / Swift mobile,2026-03,108,0.018105616093880974
9,iOS / Swift mobile,2026-04,86,0.014690809702767338
10,AWS cloud SDE (Amazon template),2024,547,0.02826581231914014
10,AWS cloud SDE (Amazon template),2026-03,145,0.024308466051969825
10,AWS cloud SDE (Amazon template),2026-04,154,0.026306798770071745
11,QA / test automation,2024,122,0.0063042579578338155
11,QA / test automation,2026-03,41,0.006873428331936295
11,QA / test automation,2026-04,36,0.0061496412709258624
12,Azure data platform,2024,152,0.007854485324514262
12,Azure data platform,2026-03,54,0.009052808046940487
12,Azure data platform,2026-04,50,0.008541168431841476
13,Amazon program boilerplate,2024,217,0.011213311285655229
13,Amazon program boilerplate,2026-03,119,0.019949706621961442
13,Amazon program boilerplate,2026-04,99,0.01691151349504612
14,US gov SCI-cleared SWE,2024,243,0.012556841670111616
14,US gov SCI-cleared SWE,2026-03,62,0.010393964794635373
14,US gov SCI-cleared SWE,2026-04,91,0.015544926545951486
15,GPU / CUDA / systems perf,2024,96,0.004960727573377429
15,GPU / CUDA / systems perf,2026-03,48,0.00804694048616932
15,GPU / CUDA / systems perf,2026-04,54,0.009224461906388794
16,Python web backend (Django/Flask),2024,202,0.010438197602315007
16,Python web backend (Django/Flask),2026-03,51,0.008549874266554904
16,Python web backend (Django/Flask),2026-04,61,0.010420225486846601
17,AWS cloud generic template,2024,628,0.03245142620917735
17,AWS cloud generic template,2026-03,52,0.008717518860016765
17,AWS cloud generic template,2026-04,42,0.00717458148274684
18,Android / Kotlin mobile,2024,91,0.004702356345597354
18,Android / Kotlin mobile,2026-03,43,0.0072087175188600165
18,Android / Kotlin mobile,2026-04,39,0.006662111376836351
19,Generic JS/Python boilerplate,2024,94,0.004857379082265399
19,Generic JS/Python boilerplate,2026-03,30,0.005029337803855826
19,Generic JS/Python boilerplate,2026-04,27,0.004612230953194397
