archetype,archetype_name,2024,2026-03,2026-04,delta_2024_to_2026avg
0,LLM / GenAI / ML engineering,0.04893037009656702,0.206940464820121,0.20391966310333656,0.15649969386516177
2,DevOps / SRE / platform,0.11902231668437832,0.15313594396688954,0.1588921282798834,0.03699171943900814
5,Data engineering (Spark/ETL),0.06223721295569006,0.07593123209169055,0.07612568837058634,0.013791247275448372
3,JS frontend (React/TypeScript),0.09384096474610729,0.10983763132760267,0.10528020732102365,0.013717954578205876
13,Amazon program boilerplate,0.011273852977868133,0.018943011779687997,0.016034985422740525,0.006215145623346128
9,iOS / Swift mobile,0.010580788245622141,0.017510347023241005,0.014577259475218658,0.005463015003607692
15,GPU / CUDA / systems perf,0.004528022917340479,0.007640878701050621,0.008908325234855847,0.003746579050612755
18,Android / Kotlin mobile,0.004250797024442083,0.0068449538363578475,0.006316812439261419,0.00233008611336755
12,Azure data platform,0.007392690477290579,0.008914358484559057,0.008098477486232589,0.0011137275081052438
11,QA / test automation,0.013537864436538373,0.013689907672715695,0.01473922902494331,0.0006767039122911305
14,US gov SCI-cleared SWE,0.012059326341080256,0.009869468322190385,0.015225137674117265,0.0004879766570735685
19,Generic JS/Python boilerplate,0.004666635863789678,0.004775549188156638,0.0045351473922902496,-1.128757356623402e-05
16,Python web backend (Django/Flask),0.009564293304994687,0.008118433619866285,0.01020408163265306,-0.0004030356787350156
10,AWS cloud SDE (Amazon template),0.026613685718246086,0.02387774594078319,0.025429219306770327,-0.001960203094469329
6,Embedded / firmware,0.0681975696530056,0.061445399554282076,0.054583738257207644,-0.010183000747260737
4,Java enterprise (Spring/microservices),0.10414452709883103,0.09057624960203757,0.09345643019112407,-0.012128187202250215
8,Agile/Scrum generalist,0.04994686503719448,0.03517987901942057,0.034499514091350825,-0.015107168481808778
17,AWS cloud generic template,0.029201127385297787,0.008277618592804839,0.006802721088435374,-0.02166095754467768
7,.NET / ASP.NET full-stack,0.057755394353832645,0.021330786373766317,0.030612244897959183,-0.03178387871796989
1,Defense & cleared regulated work,0.2622556946818833,0.11716014008277618,0.11175898931000972,-0.14779612998549035
