archetype,archetype_name,period_group,n_total,n_known_sen,junior_share,n_yoe,yoe_le2_share
0,LLM / GenAI / ML engineering,2024,1059,618,0.0372168284789644,637,0.14599686028257458
0,LLM / GenAI / ML engineering,2026-03,1300,757,0.17173051519154559,817,0.18604651162790697
0,LLM / GenAI / ML engineering,2026-04,1259,704,0.08522727272727272,809,0.18046971569839307
1,Defense & cleared regulated work,2024,5676,3354,0.02981514609421586,4266,0.11978434130332864
1,Defense & cleared regulated work,2026-03,736,334,0.08083832335329341,510,0.23137254901960785
1,Defense & cleared regulated work,2026-04,690,319,0.09090909090909091,492,0.21747967479674796
2,DevOps / SRE / platform,2024,2576,1578,0.016476552598225603,1746,0.09965635738831616
2,DevOps / SRE / platform,2026-03,962,518,0.0444015444015444,683,0.1273792093704246
2,DevOps / SRE / platform,2026-04,981,522,0.04980842911877394,673,0.1188707280832095
3,JS frontend (React/TypeScript),2024,2031,1236,0.02669902912621359,1270,0.10236220472440945
3,JS frontend (React/TypeScript),2026-03,690,374,0.10427807486631016,439,0.16856492027334852
3,JS frontend (React/TypeScript),2026-04,650,367,0.09809264305177112,416,0.14182692307692307
4,Java enterprise (Spring/microservices),2024,2254,1351,0.037009622501850484,1553,0.11332904056664521
4,Java enterprise (Spring/microservices),2026-03,569,330,0.07272727272727272,395,0.1468354430379747
4,Java enterprise (Spring/microservices),2026-04,577,320,0.040625,399,0.14035087719298245
5,Data engineering (Spark/ETL),2024,1347,798,0.03258145363408521,918,0.11002178649237472
5,Data engineering (Spark/ETL),2026-03,477,269,0.08921933085501858,325,0.16
5,Data engineering (Spark/ETL),2026-04,470,262,0.04198473282442748,310,0.1064516129032258
6,Embedded / firmware,2024,1476,936,0.023504273504273504,1019,0.11776251226692837
6,Embedded / firmware,2026-03,386,237,0.08860759493670886,266,0.18045112781954886
6,Embedded / firmware,2026-04,337,182,0.07692307692307693,253,0.22529644268774704
7,.NET / ASP.NET full-stack,2024,1250,764,0.02617801047120419,791,0.09987357774968394
7,.NET / ASP.NET full-stack,2026-03,134,81,0.12345679012345678,90,0.14444444444444443
7,.NET / ASP.NET full-stack,2026-04,189,101,0.0891089108910891,126,0.1349206349206349
8,Agile/Scrum generalist,2024,1081,734,0.035422343324250684,810,0.14814814814814814
8,Agile/Scrum generalist,2026-03,221,147,0.1360544217687075,156,0.19230769230769232
8,Agile/Scrum generalist,2026-04,213,131,0.12213740458015267,156,0.15384615384615385
9,iOS / Swift mobile,2024,229,130,0.03076923076923077,131,0.11450381679389313
9,iOS / Swift mobile,2026-03,110,57,0.12280701754385964,71,0.19718309859154928
9,iOS / Swift mobile,2026-04,90,57,0.07017543859649122,61,0.14754098360655737
10,AWS cloud SDE (Amazon template),2024,576,316,0.012658227848101266,458,0.08296943231441048
10,AWS cloud SDE (Amazon template),2026-03,150,80,0.0375,121,0.15702479338842976
10,AWS cloud SDE (Amazon template),2026-04,157,80,0.0375,126,0.07142857142857142
11,QA / test automation,2024,293,143,0.013986013986013986,190,0.12105263157894737
11,QA / test automation,2026-03,86,23,0.21739130434782608,67,0.19402985074626866
11,QA / test automation,2026-04,91,44,0.06818181818181818,62,0.1774193548387097
12,Azure data platform,2024,160,100,0.03,112,0.11607142857142858
12,Azure data platform,2026-03,56,25,0.08,30,0.16666666666666666
12,Azure data platform,2026-04,50,27,0.0,37,0.08108108108108109
13,Amazon program boilerplate,2024,244,141,0.1347517730496454,168,0.20833333333333334
13,Amazon program boilerplate,2026-03,119,61,0.2459016393442623,96,0.5
13,Amazon program boilerplate,2026-04,99,62,0.08064516129032258,90,0.5333333333333333
14,US gov SCI-cleared SWE,2024,261,155,0.01935483870967742,207,0.05314009661835749
14,US gov SCI-cleared SWE,2026-03,62,31,0.1935483870967742,30,0.23333333333333334
14,US gov SCI-cleared SWE,2026-04,94,34,0.029411764705882353,34,0.14705882352941177
15,GPU / CUDA / systems perf,2024,98,64,0.046875,58,0.13793103448275862
15,GPU / CUDA / systems perf,2026-03,48,29,0.034482758620689655,26,0.2692307692307692
15,GPU / CUDA / systems perf,2026-04,55,29,0.034482758620689655,33,0.15151515151515152
16,Python web backend (Django/Flask),2024,207,103,0.04854368932038835,126,0.07936507936507936
16,Python web backend (Django/Flask),2026-03,51,32,0.03125,30,0.13333333333333333
16,Python web backend (Django/Flask),2026-04,63,39,0.07692307692307693,38,0.07894736842105263
17,AWS cloud generic template,2024,632,585,0.0017094017094017094,391,0.028132992327365727
17,AWS cloud generic template,2026-03,52,45,0.022222222222222223,46,0.10869565217391304
17,AWS cloud generic template,2026-04,42,39,0.02564102564102564,39,0.10256410256410256
18,Android / Kotlin mobile,2024,92,62,0.016129032258064516,60,0.1
18,Android / Kotlin mobile,2026-03,43,19,0.0,33,0.18181818181818182
18,Android / Kotlin mobile,2026-04,39,17,0.23529411764705882,18,0.1111111111111111
19,Generic JS/Python boilerplate,2024,101,66,0.030303030303030304,72,0.125
19,Generic JS/Python boilerplate,2026-03,30,13,0.07692307692307693,24,0.25
19,Generic JS/Python boilerplate,2026-04,28,18,0.1111111111111111,19,0.2631578947368421
