archetype,archetype_name,n,top_terms,share_junior,share_mid,share_senior,share_unknown_sen,share_2024,share_2026_03,share_2026_04,n_2024,n_2026_03,n_2026_04,desc_len_mean,yoe_mean,tech_count_mean,top5_tech
0,LLM / GenAI / ML engineering,936,llm | llms | generative | pytorch | tensorflow | endtoend | retrieval | aidriven | mlops | genai,0.16666666666666666,0.002136752136752137,0.4423076923076923,0.3888888888888889,0.11217948717948718,0.4305555555555556,0.45726495726495725,105,403,428,771.1762820512821,4.5386064030131825,5.798076923076923,python | llm | machine_learning | agents_framework | aws
1,Defense & cleared regulated work,623,specifications | procedures | regulations | analyze | duties | documents | citizenship | obtain | needed | troubleshooting,0.06420545746388442,0.014446227929373997,0.3306581059390048,0.5906902086677368,0.45746388443017655,0.27447833065810595,0.2680577849117175,285,171,167,795.8796147672552,4.895927601809955,0.6388443017656501,python | java | c_sharp | dotnet | javascript
2,DevOps / SRE / platform,620,scripting | configuration | devsecops | deployments | automate | powershell | observability | troubleshooting | containerization | infrastructureascode,0.03870967741935484,0.0064516129032258064,0.4403225806451613,0.5145161290322581,0.32903225806451614,0.33225806451612905,0.3387096774193548,204,206,210,795.583870967742,5.3734643734643734,5.375806451612903,cicd | aws | azure | terraform | kubernetes
3,JS frontend (React/TypeScript),504,typescript | nodejs | nextjs | reactjs | graphql | html5 | endtoend | reusable | jest | problemsolving,0.08134920634920635,0.003968253968253968,0.46825396825396826,0.44642857142857145,0.35912698412698413,0.30952380952380953,0.33134920634920634,181,156,167,604.5119047619048,4.770034843205575,4.678571428571429,react | javascript | typescript | html_css | nodejs
4,Java enterprise (Spring/microservices),409,microservices | angular | kafka | hibernate | springboot | junit | nosql | j2ee | javaj2ee | jira,0.0488997555012225,0.004889975550122249,0.45965770171149145,0.48655256723716384,0.4547677261613692,0.2567237163814181,0.2885085574572127,186,105,118,625.1320293398533,6.108208955223881,5.3398533007334965,java | spring | cicd | angular | aws
5,Data engineering (Spark/ETL),383,etl | datasets | ingestion | scala | governance | pyspark | airflow | hadoop | query | etlelt,0.06788511749347259,0.013054830287206266,0.4804177545691906,0.4386422976501306,0.3263707571801567,0.360313315926893,0.3133159268929504,125,138,120,637.2637075718015,5.175,4.516971279373368,python | aws | spark | snowflake | java
6,Embedded / firmware,279,firmware | rtos | debugging | protocols | debug | fpga | os | ethernet | i2c | bringup,0.07885304659498207,0.010752688172043012,0.44086021505376344,0.46953405017921146,0.3010752688172043,0.3763440860215054,0.3225806451612903,84,105,90,694.7670250896057,5.072916666666667,1.114695340501792,python | c_plus_plus | cicd | rust | java
7,.NET / ASP.NET full-stack,193,aspnet | angular | jquery | problemsolving | queries | bootstrap | relational | procedures | html5 | debugging,0.05699481865284974,0.0051813471502590676,0.48186528497409326,0.45595854922279794,0.5854922279792746,0.16062176165803108,0.2538860103626943,113,31,49,598.0829015544041,5.264462809917355,4.730569948186528,dotnet | c_sharp | azure | angular | javascript
8,Agile/Scrum generalist,157,scrum | ceremonies | functionality | backlog | problemsolving | mentorship | troubleshooting | debugging | specifications | objectoriented,0.12101910828025478,0.025477707006369428,0.45222929936305734,0.4012738853503185,0.47770700636942676,0.21656050955414013,0.3057324840764331,75,34,48,764.4458598726114,5.280373831775701,2.3312101910828025,java | cicd | python | c_sharp | javascript
9,iOS / Swift mobile,100,ios | swiftui | objectivec | ios ios | kotlin | uikit | sdks | xcode | mvvm | expertise ios,0.1,0.0,0.43,0.47,0.29,0.42,0.29,29,42,29,586.82,5.754385964912281,2.1,swift | objective_c | cicd | kotlin | aws
10,AWS cloud SDE (Amazon template),92,noninternship | dynamodb | noninternship existing | nosql | noninternship noninternship | qualifications noninternship | relational | iam | firmware | qualifications including,0.021739130434782608,0.010869565217391304,0.391304347826087,0.5760869565217391,0.4782608695652174,0.22826086956521738,0.29347826086956524,44,21,27,726.4021739130435,4.513513513513513,4.945652173913044,aws | java | python | cicd | lambda
11,QA / test automation,82,selenium | manual | regression | playwright | defects | defect | jira | scenarios | cucumber | validate,0.036585365853658534,0.012195121951219513,0.36585365853658536,0.5853658536585366,0.3780487804878049,0.2804878048780488,0.34146341463414637,31,23,28,692.6585365853658,4.95,3.731707317073171,selenium | java | cicd | playwright | python
12,Azure data platform,57,adf | governance | etl | etlelt | pyspark | adls | datasets | ingestion | translate | gen2,0.017543859649122806,0.0,0.5087719298245614,0.47368421052631576,0.40350877192982454,0.3684210526315789,0.22807017543859648,23,21,13,663.9824561403509,5.709677419354839,4.684210526315789,azure | databricks | python | cicd | spark
13,Amazon program boilerplate,56,developed feedback | feedback checking | checking testability | productprogram | productprogram updates | documentation productprogram | updates user | decide amongst | feedback debugtrackresolve | testability contribute,0.26785714285714285,0.0,0.39285714285714285,0.3392857142857143,0.2857142857142857,0.4107142857142857,0.30357142857142855,16,23,17,409.1607142857143,2.9761904761904763,1.9464285714285714,python | java | javascript | typescript | c_sharp
14,US gov SCI-cleared SWE,54,swe | swe similar | polygraph | similar complexity | modify | tssci | additional swe | discipline additional | complexity | modify existing,0.05555555555555555,0.0,0.3888888888888889,0.5555555555555556,0.05555555555555555,0.35185185185185186,0.5925925925925926,3,19,32,696.2962962962963,8.722222222222221,2.4444444444444446,python | java | docker | ansible | javascript
15,GPU / CUDA / systems perf,51,gpu | cuda | profiling | workloads | gpus | compiler | cpu | kernels | debugging | optimizations,0.058823529411764705,0.0,0.45098039215686275,0.49019607843137253,0.17647058823529413,0.39215686274509803,0.43137254901960786,9,20,22,687.4313725490196,4.818181818181818,1.7843137254901962,python | machine_learning | pytorch | tensorflow | docker
16,Python web backend (Django/Flask),50,django | flask | django flask | postgresql | simulator | celery | ubuntu | relational | clickhouse | fastapi,0.1,0.0,0.44,0.46,0.48,0.28,0.24,24,14,12,580.48,5.454545454545454,4.52,python | django | aws | flask | cicd
17,AWS cloud generic template,42,cloudbased millions | experimenting participating | staying experimenting | robust cloudbased | millions utilize | experimenting | rdbms nosql | including kubernetes | kubernetes qualifications | utilize javascript,0.023809523809523808,0.0,0.8571428571428571,0.11904761904761904,0.5476190476190477,0.2619047619047619,0.19047619047619047,23,11,8,386.5,4.425,8.761904761904763,aws | python | azure | kubernetes | docker
18,Android / Kotlin mobile,38,kotlin | compose | coroutines | proficiency kotlin | kotlin compose | rxjava | mvvm | kotlin coroutines | hilt | dagger,0.07894736842105263,0.0,0.42105263157894735,0.5,0.21052631578947367,0.3157894736842105,0.47368421052631576,8,12,18,379.44736842105266,5.173913043478261,2.0789473684210527,kotlin | java | python | cicd | javascript
19,Generic JS/Python boilerplate,38,including javascript | pythonor | bachelor including | javascript pythonor | following hiretransfer | hiretransfer thereafter | hiretransfer | thereafter | include following | requirements include,0.05263157894736842,0.02631578947368421,0.5,0.42105263157894735,0.5,0.18421052631578946,0.3157894736842105,19,7,12,708.8157894736842,3.962962962962963,4.2631578947368425,azure | python | c_sharp | javascript | java
