archetype,archetype_name,period_group,n,share_noagg,share_all,delta_agg_exclusion
0,LLM / GenAI / ML engineering,2024,917,0.04943396226415094,0.04893037009656702,0.0005035921675839231
0,LLM / GenAI / ML engineering,2026-03,1130,0.21814671814671815,0.206940464820121,0.011206253326597165
0,LLM / GenAI / ML engineering,2026-04,1106,0.2151750972762646,0.20391966310333656,0.011255434172928042
1,Defense & cleared regulated work,2024,4957,0.26722371967654984,0.2622556946818833,0.004968024994666531
1,Defense & cleared regulated work,2026-03,600,0.11583011583011583,0.11716014008277618,-0.00133002425266035
1,Defense & cleared regulated work,2026-04,608,0.11828793774319066,0.11175898931000972,0.006528948433180942
2,DevOps / SRE / platform,2024,2174,0.1171967654986523,0.11902231668437832,-0.0018255511857260265
2,DevOps / SRE / platform,2026-03,819,0.1581081081081081,0.15313594396688954,0.004972164141218566
2,DevOps / SRE / platform,2026-04,789,0.15350194552529184,0.1588921282798834,-0.005390182754591549
3,JS frontend (React/TypeScript),2024,1850,0.09973045822102426,0.09384096474610729,0.005889493474916976
3,JS frontend (React/TypeScript),2026-03,569,0.10984555984555984,0.10983763132760267,7.928517957167536e-06
3,JS frontend (React/TypeScript),2026-04,536,0.10428015564202335,0.10528020732102365,-0.0010000516790003022
4,Java enterprise (Spring/microservices),2024,2002,0.1079245283018868,0.10414452709883103,0.0037800012030557717
4,Java enterprise (Spring/microservices),2026-03,437,0.08436293436293436,0.09057624960203757,-0.0062133152391032065
4,Java enterprise (Spring/microservices),2026-04,427,0.08307392996108949,0.09345643019112407,-0.010382500230034578
5,Data engineering (Spark/ETL),2024,1195,0.06442048517520216,0.06223721295569006,0.002183272219512096
5,Data engineering (Spark/ETL),2026-03,378,0.07297297297297298,0.07593123209169055,-0.0029582591187175683
5,Data engineering (Spark/ETL),2026-04,357,0.06945525291828794,0.07612568837058634,-0.0066704354522983955
6,Embedded / firmware,2024,1310,0.07061994609164421,0.0681975696530056,0.0024223764386386154
6,Embedded / firmware,2026-03,303,0.05849420849420849,0.061445399554282076,-0.002951191060073584
6,Embedded / firmware,2026-04,296,0.05758754863813229,0.054583738257207644,0.0030038103809246486
7,.NET / ASP.NET full-stack,2024,1087,0.05859838274932615,0.057755394353832645,0.0008429883954935019
7,.NET / ASP.NET full-stack,2026-03,97,0.018725868725868726,0.021330786373766317,-0.0026049176478975915
7,.NET / ASP.NET full-stack,2026-04,139,0.027042801556420235,0.030612244897959183,-0.0035694433415389484
8,Agile/Scrum generalist,2024,918,0.04948787061994609,0.04994686503719448,-0.0004589944172483859
8,Agile/Scrum generalist,2026-03,180,0.03474903474903475,0.03517987901942057,-0.0004308442703858176
8,Agile/Scrum generalist,2026-04,189,0.036770428015564204,0.034499514091350825,0.002270913924213379
9,iOS / Swift mobile,2024,191,0.010296495956873316,0.010580788245622141,-0.0002842922887488254
9,iOS / Swift mobile,2026-03,95,0.01833976833976834,0.017510347023241005,0.0008294213165273359
9,iOS / Swift mobile,2026-04,74,0.014396887159533073,0.014577259475218658,-0.00018037231568558514
10,AWS cloud SDE (Amazon template),2024,526,0.02835579514824798,0.026613685718246086,0.0017421094300018938
10,AWS cloud SDE (Amazon template),2026-03,127,0.024517374517374516,0.02387774594078319,0.0006396285765913265
10,AWS cloud SDE (Amazon template),2026-04,138,0.026848249027237352,0.025429219306770327,0.001419029720467025
11,QA / test automation,2024,266,0.014339622641509434,0.013537864436538373,0.0008017582049710606
11,QA / test automation,2026-03,63,0.012162162162162163,0.013689907672715695,-0.0015277455105535322
11,QA / test automation,2026-04,72,0.014007782101167316,0.01473922902494331,-0.0007314469237759951
12,Azure data platform,2024,141,0.0076010781671159025,0.007392690477290579,0.00020838768982532358
12,Azure data platform,2026-03,40,0.007722007722007722,0.008914358484559057,-0.0011923507625513346
12,Azure data platform,2026-04,39,0.007587548638132296,0.008098477486232589,-0.000510928848100293
13,Amazon program boilerplate,2024,222,0.011967654986522911,0.011273852977868133,0.0006938020086547786
13,Amazon program boilerplate,2026-03,109,0.021042471042471044,0.018943011779687997,0.0020994592627830468
13,Amazon program boilerplate,2026-04,93,0.018093385214007784,0.016034985422740525,0.002058399791267259
14,US gov SCI-cleared SWE,2024,218,0.011752021563342319,0.012059326341080256,-0.00030730477773793785
14,US gov SCI-cleared SWE,2026-03,48,0.009266409266409266,0.009869468322190385,-0.0006030590557811188
14,US gov SCI-cleared SWE,2026-04,88,0.017120622568093387,0.015225137674117265,0.0018954848939761217
15,GPU / CUDA / systems perf,2024,96,0.005175202156334231,0.004528022917340479,0.0006471792389937522
15,GPU / CUDA / systems perf,2026-03,44,0.008494208494208495,0.007640878701050621,0.0008533297931578743
15,GPU / CUDA / systems perf,2026-04,53,0.010311284046692607,0.008908325234855847,0.0014029588118367603
16,Python web backend (Django/Flask),2024,185,0.009973045822102426,0.009564293304994687,0.00040875251710773865
16,Python web backend (Django/Flask),2026-03,43,0.008301158301158301,0.008118433619866285,0.00018272468129201629
16,Python web backend (Django/Flask),2026-04,52,0.010116731517509728,0.01020408163265306,-8.73501151433323e-05
17,AWS cloud generic template,2024,131,0.0070619946091644206,0.029201127385297787,-0.022139132776133365
17,AWS cloud generic template,2026-03,45,0.008687258687258687,0.008277618592804839,0.00040964009445384857
17,AWS cloud generic template,2026-04,33,0.006420233463035019,0.006802721088435374,-0.0003824876254003547
18,Android / Kotlin mobile,2024,72,0.003881401617250674,0.004250797024442083,-0.00036939540719140886
18,Android / Kotlin mobile,2026-03,30,0.005791505791505791,0.0068449538363578475,-0.0010534480448520563
18,Android / Kotlin mobile,2026-04,27,0.005252918287937744,0.006316812439261419,-0.001063894151323675
19,Generic JS/Python boilerplate,2024,92,0.004959568733153639,0.004666635863789678,0.00029293286936396025
19,Generic JS/Python boilerplate,2026-03,23,0.00444015444015444,0.004775549188156638,-0.0003353947480021985
19,Generic JS/Python boilerplate,2026-04,24,0.004669260700389105,0.0045351473922902496,0.0001341133080988554
