archetype,archetype_name,share_2024,n_2024,share_2026-03,n_2026-03,share_2026-04,n_2026-04,delta_2024_to_2026avg
0,LLM / GenAI / ML engineering,0.039208364451082896,105,0.16062176165803108,403,0.16830515139598898,428,0.12525509207592714
14,US gov SCI-cleared SWE,0.0011202389843166542,3,0.00757273814268633,19,0.012583562721195438,32,0.008957911447624228
6,Embedded / firmware,0.03136669156086632,84,0.04184934236747708,105,0.03539127015336217,90,0.007253614699553303
2,DevOps / SRE / platform,0.07617625093353249,204,0.08210442407333599,206,0.08257963035784506,210,0.006165776282058041
15,GPU / CUDA / systems perf,0.0033607169529499626,9,0.007971303308090873,20,0.008651199370821865,22,0.004950534386506405
5,Data engineering (Spark/ETL),0.04667662434652726,125,0.055001992825827024,138,0.047188360204482895,120,0.004418552168627701
9,iOS / Swift mobile,0.010828976848394324,29,0.016739736946990835,42,0.011403853716083366,29,0.0032428184831427773
18,Android / Kotlin mobile,0.002987303958177745,8,0.004782781984854523,12,0.007078254030672434,18,0.0029432140495857335
13,Amazon program boilerplate,0.00597460791635549,16,0.009166998804304504,23,0.006685017695635077,17,0.0019514003336143
11,QA / test automation,0.01157580283793876,31,0.009166998804304504,23,0.01101061738104601,28,-0.0014869947452635021
12,Azure data platform,0.008588498879761016,23,0.008369868473495417,21,0.005112072355485647,13,-0.0018475284652704838
19,Generic JS/Python boilerplate,0.007094846900672144,19,0.0027899561578318055,7,0.0047188360204482895,12,-0.0033404508115320963
3,JS frontend (React/TypeScript),0.06758775205377147,181,0.06217616580310881,156,0.0656704679512387,167,-0.0036644351765977162
16,Python web backend (Django/Flask),0.008961911874533234,24,0.005579912315663611,14,0.0047188360204482895,12,-0.0038125377064772833
17,AWS cloud generic template,0.008588498879761016,23,0.00438421681944998,11,0.0031458906802988595,8,-0.004823445129886596
10,AWS cloud SDE (Amazon template),0.016430171769977596,44,0.008369868473495417,21,0.01061738104600865,27,-0.006936547010225561
8,Agile/Scrum generalist,0.028005974607916356,75,0.013551215623754484,34,0.018875344081793158,48,-0.011792694755142535
4,Java enterprise (Spring/microservices),0.06945481702763256,186,0.04184934236747708,105,0.04640188753440818,118,-0.025329202076689934
7,.NET / ASP.NET full-stack,0.042195668409260645,113,0.012355520127540853,31,0.019268580416830515,49,-0.02638361813707496
-1,Noise / unassigned,0.4073935772964899,1091,0.37744121163810285,947,0.3649233189146677,928,-0.03621131202010458
1,Defense & cleared regulated work,0.10642270351008215,285,0.06815464328417696,171,0.0656704679512387,167,-0.03951014789237432
