target,nmi_full,nmi_nonnoise,nmi_nonnoise_ind_only,n_nonnoise,n_nonnoise_labeled
seniority_3level,0.010141184347797873,0.015023014426312485,,4764,4764
period_group,0.018714613463587926,0.027250957976351443,,4764,4764
tech_domain_proxy,0.2855469175162183,0.41202309469330384,,4764,4764
company_industry,0.13221149968100104,0.17922332985485323,0.1790555380144057,4764,4754
