archetype,2024-01,2024-04,2026
ai_ml_engineering,0.865,0.843,0.951
angular_frontend,0.0,0.0,0.318
aws_cloud_services,0.011,0.056,0.056
azure_dotnet_web,0.0,0.052,0.2
backend_platform,0.176,0.148,0.276
cloud_devops,0.025,0.03,0.217
customer_project_engineer,0.008,0.021,0.083
data_engineering,0.055,0.064,0.306
dotnet_web_sql,0.009,0.034,0.269
frontend_react,0.062,0.051,0.377
generic_software_engineer,0.039,0.036,0.177
golang_cloud,0.091,0.0,0.167
internship_new_grad,0.0,0.067,0.194
java_spring_backend,0.029,0.034,0.174
mobile_android_ios,0.036,0.01,0.264
network_security_linux,0.016,0.018,0.206
python_backend_developer,0.083,0.052,0.429
qa_test_automation,0.024,0.0,0.2
recommendation_ecommerce,0.0,0.2,0.322
systems_engineering,0.013,0.018,0.042
technology_leadership,0.054,0.053,0.392
test_engineering,0.0,0.0,0.053
