topic_reduced,llm_topic_share,raw_topic_share
0,0.222,0.126
1,0.104,0.1
2,0.187,0.198
3,0.087,0.091
4,0.027,0.019
5,0.073,0.04
6,0.053,0.048
7,0.033,0.042
8,0.026,0.052
9,0.023,0.034
10,0.03,0.03
11,0.014,0.024
12,0.01,0.01
13,0.012,0.017
14,0.008,0.014
15,0.015,0.02
16,0.008,0.01
17,0.023,0.007
18,0.008,0.009
19,0.022,0.098
20,0.012,0.008
21,0.002,0.004
