seed_a,seed_b,n_topics_a,n_topics_b,ari_raw,ari_reduced
20260417,42,22,25,0.731480988387137,0.8395257618424682
20260417,1234,22,4,0.01323879718573766,0.01051973611286176
42,1234,25,4,0.013425888003083747,0.009560182906481272
