seed_a,seed_b,ari_raw,ari_reduced
20260417,42,0.731480988387137,0.8395257618424682
20260417,77,0.7321888780389535,0.8409623182397955
20260417,99,0.6347681318707299,0.652647084614324
20260417,2026,0.6432957972454516,0.6796925155116427
42,77,0.7544636896815301,0.8638048020159973
42,99,0.6555840684191063,0.6687411355908647
42,2026,0.6901714525970346,0.7005369983869775
77,99,0.6168987811293897,0.6261447931121554
77,2026,0.6571988704208725,0.6637488527983793
99,2026,0.7469676537217232,0.8430149857429171
