archetype_name,2024-01,2024-04,2026,delta_2024avg_to_2026
ai_ml_engineering,2.74,4.7,18.69,14.97
angular_frontend,0.81,1.15,0.85,-0.13
aws_cloud_services,3.3,2.0,1.38,-1.27
azure_dotnet_web,1.26,2.15,0.77,-0.935
backend_platform,0.63,1.0,2.23,1.415
cloud_devops,7.48,12.15,8.69,-1.1250000000000018
customer_project_engineer,4.85,3.52,2.31,-1.8749999999999996
data_engineering,8.81,10.96,10.42,0.5349999999999984
dotnet_web_sql,4.26,4.41,1.0,-3.335
frontend_react,5.93,9.44,7.35,-0.33499999999999996
generic_software_engineer,24.44,17.3,22.15,1.2799999999999976
golang_cloud,0.41,0.63,0.23,-0.29000000000000004
internship_new_grad,0.19,0.56,1.19,0.815
java_spring_backend,6.33,8.74,5.31,-2.2250000000000005
mobile_android_ios,2.07,3.56,3.35,0.5350000000000001
network_security_linux,4.78,4.19,2.62,-1.8650000000000002
python_backend_developer,0.89,2.15,0.81,-0.71
qa_test_automation,1.56,2.33,1.15,-0.7950000000000002
recommendation_ecommerce,0.11,0.37,2.27,2.0300000000000002
systems_engineering,14.0,4.22,2.73,-6.379999999999999
technology_leadership,2.74,2.81,3.04,0.2649999999999997
test_engineering,2.41,1.67,1.46,-0.5800000000000001
