cluster_method,derived_domain,is_aggregator,period_2bucket,period_4bucket,seniority_final,source
bertopic_raw,0.2441,0.0072,0.035,0.0338,0.0272,0.035
bertopic_reduced,0.2605,0.0077,0.0388,0.0373,0.0332,0.0388
nmf,0.2309,0.0101,0.038,0.0363,0.0162,0.038
