archetype_id,archetype_name,n,share_of_sample_pct,share_known_entry_associate_j2,share_known_mid_director_s1,share_mid_senior,share_entry,share_associate,share_director,share_unknown,share_aggregator,share_2024_01,share_2024_04,share_2026_03,share_2026_04,mean_desc_length,mean_yoe,mean_tech_count,ai_mention_share
0,generic_software_engineer,1703,21.29,0.233,0.767,0.546,0.153,0.018,0.016,0.268,0.127,0.388,0.274,0.172,0.166,1589.0,5.15,4.85,0.085
1,data_engineering,805,10.06,0.165,0.835,0.557,0.098,0.016,0.024,0.306,0.135,0.296,0.368,0.181,0.155,1494.0,5.23,6.59,0.143
2,ai_ml_engineering,687,8.59,0.23,0.77,0.531,0.163,0.007,0.038,0.261,0.128,0.108,0.185,0.365,0.342,1742.0,4.92,7.12,0.921
3,cloud_devops,756,9.45,0.09,0.91,0.548,0.05,0.007,0.025,0.37,0.143,0.267,0.434,0.164,0.135,1636.0,5.39,7.93,0.085
4,systems_engineering,563,7.04,0.072,0.928,0.577,0.043,0.007,0.066,0.307,0.187,0.671,0.202,0.06,0.066,1788.0,6.63,1.22,0.018
5,frontend_react,606,7.58,0.17,0.83,0.573,0.116,0.005,0.017,0.29,0.096,0.264,0.421,0.15,0.165,1418.0,5.09,7.76,0.157
6,java_spring_backend,545,6.81,0.172,0.828,0.528,0.099,0.018,0.037,0.317,0.171,0.314,0.433,0.132,0.121,1259.0,5.83,8.74,0.068
7,mobile_android_ios,239,2.99,0.217,0.783,0.51,0.138,0.004,0.004,0.343,0.134,0.234,0.402,0.18,0.184,1330.0,5.02,3.67,0.109
8,network_security_linux,310,3.88,0.161,0.839,0.49,0.087,0.01,0.013,0.4,0.116,0.416,0.365,0.123,0.097,1608.0,5.89,2.77,0.058
9,customer_project_engineer,286,3.58,0.331,0.669,0.297,0.147,0.024,0.049,0.483,0.063,0.458,0.332,0.105,0.105,1639.0,4.74,0.78,0.028
10,technology_leadership,229,2.86,0.01,0.99,0.799,0.004,0.004,0.1,0.092,0.1,0.323,0.332,0.179,0.166,1871.0,6.29,6.92,0.17
11,aws_cloud_services,179,2.24,0.058,0.942,0.788,0.05,0.0,0.028,0.134,0.441,0.497,0.302,0.089,0.112,1152.0,4.66,11.01,0.034
12,dotnet_web_sql,260,3.25,0.105,0.895,0.588,0.065,0.004,0.0,0.342,0.138,0.442,0.458,0.038,0.062,1225.0,5.7,6.8,0.046
13,qa_test_automation,135,1.69,0.096,0.904,0.481,0.044,0.007,0.007,0.459,0.133,0.311,0.467,0.104,0.119,1398.0,5.31,5.53,0.052
14,python_backend_developer,103,1.29,0.18,0.82,0.388,0.087,0.0,0.01,0.515,0.117,0.233,0.563,0.107,0.097,985.0,5.23,6.15,0.136
15,test_engineering,148,1.85,0.196,0.804,0.527,0.128,0.0,0.0,0.345,0.074,0.439,0.304,0.142,0.115,1728.0,5.22,2.78,0.014
16,azure_dotnet_web,112,1.4,0.085,0.915,0.58,0.054,0.0,0.0,0.366,0.161,0.304,0.518,0.071,0.107,1294.0,5.49,8.11,0.062
17,recommendation_ecommerce,72,0.9,0.846,0.154,0.139,0.764,0.0,0.0,0.097,0.0,0.042,0.139,0.569,0.25,1336.0,3.9,3.72,0.292
18,angular_frontend,75,0.94,0.042,0.958,0.573,0.013,0.013,0.04,0.36,0.173,0.293,0.413,0.187,0.107,1117.0,5.92,8.03,0.093
19,backend_platform,102,1.27,0.133,0.867,0.696,0.088,0.02,0.01,0.186,0.049,0.167,0.265,0.275,0.294,1587.0,5.09,5.59,0.225
20,internship_new_grad,51,0.64,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.039,0.098,0.294,0.392,0.216,1199.0,,3.98,0.137
21,golang_cloud,34,0.42,0.0,1.0,0.735,0.0,0.0,0.0,0.265,0.088,0.324,0.5,0.118,0.059,1154.0,5.33,5.74,0.059
