company,period,is_aggregator,n_posts,mean_pairwise_cos
Global Guardian,2024,False,10,0.9912360310554504
Synchrony,2026,False,29,0.9741262793540955
"Syms Strategic Group, LLC (SSG)",2024,False,118,0.9474483132362366
"Syms Strategic Group, LLC (SSG)",2026,False,16,0.9459559321403503
Allagi Technologies Inc,2026,False,13,0.92262202501297
R3 Technology Inc,2026,False,15,0.917451024055481
KPMG US,2024,False,63,0.9092075824737549
AIS (Applied Information Sciences),2026,False,11,0.907433807849884
LangChain,2026,False,11,0.8951948881149292
Transamerica,2026,False,17,0.8676738739013672
DataAnnotation,2026,True,26,0.8544187545776367
Prudential Financial,2024,False,11,0.8468130826950073
Box,2026,False,17,0.8423035740852356
"Super Micro Computer Spain, S.L.",2026,False,16,0.8421110510826111
Zscaler,2026,False,12,0.8262196183204651
PricewaterhouseCoopers,2026,False,19,0.8258843421936035
CesiumAstro,2026,False,14,0.818591296672821
LightFeather,2026,False,12,0.8167852759361267
Garner Health,2026,False,11,0.8130728006362915
"Scribd, Inc.",2026,False,12,0.8093001246452332
CrowdStrike,2026,False,22,0.8090171813964844
Cloudflare,2026,False,32,0.8083717823028564
Handshake,2026,False,12,0.8080263137817383
"Visionist, Inc.",2026,False,15,0.805248498916626
West Pharmaceutical Services,2024,False,12,0.8034455180168152
MassMutual,2024,True,18,0.8007315993309021
Latitude AI,2026,False,15,0.799805760383606
Kai,2026,False,11,0.7985501885414124
The Depository Trust & Clearing Corporation (DTCC),2026,False,15,0.7964909076690674
CyberArk,2026,False,21,0.79444420337677
