period2,is_aggregator,sen_combined,n,rate,hits,indicator
2024,False,associate,83,0.8795180722891566,73,hedge_any
2024,False,entry,227,0.5198237885462555,118,hedge_any
2024,False,mid-senior,5596,0.5541458184417442,3101,hedge_any
2024,False,other,15395,0.5202338421565443,8009,hedge_any
2024,True,associate,1,0.0,0,hedge_any
2024,True,entry,14,0.5,7,hedge_any
2024,True,mid-senior,2111,0.6314542870677404,1333,hedge_any
2024,True,other,4805,0.5873048907388138,2822,hedge_any
2026,False,associate,27,0.7407407407407407,20,hedge_any
2026,False,entry,327,0.6758409785932722,221,hedge_any
2026,False,mid-senior,3223,0.6692522494570277,2157,hedge_any
2026,False,other,26459,0.7016516119278884,18565,hedge_any
2026,True,associate,3,0.6666666666666666,2,hedge_any
2026,True,entry,63,0.6825396825396826,43,hedge_any
2026,True,mid-senior,416,0.6129807692307693,255,hedge_any
2026,True,other,4544,0.6296214788732394,2861,hedge_any
2024,False,associate,83,0.04819277108433735,4,firm_any
2024,False,entry,227,0.3656387665198238,83,firm_any
2024,False,mid-senior,5596,0.37937812723373837,2123,firm_any
2024,False,other,15395,0.3973367976615784,6117,firm_any
2024,True,associate,1,1.0,1,firm_any
2024,True,entry,14,0.5714285714285714,8,firm_any
2024,True,mid-senior,2111,0.3230696352439602,682,firm_any
2024,True,other,4805,0.25535900104058273,1227,firm_any
2026,False,associate,27,0.3333333333333333,9,firm_any
2026,False,entry,327,0.40672782874617736,133,firm_any
2026,False,mid-senior,3223,0.39311200744647845,1267,firm_any
2026,False,other,26459,0.4546657092104766,12030,firm_any
2026,True,associate,3,0.3333333333333333,1,firm_any
2026,True,entry,63,0.49206349206349204,31,firm_any
2026,True,mid-senior,416,0.35096153846153844,146,firm_any
2026,True,other,4544,0.4940580985915493,2245,firm_any
2024,False,associate,83,0.012048192771084338,1,kitchen_sink_high_score_ge12
2024,False,entry,227,0.039647577092511016,9,kitchen_sink_high_score_ge12
2024,False,mid-senior,5596,0.08720514653323802,488,kitchen_sink_high_score_ge12
2024,False,other,15395,0.07164663851899968,1103,kitchen_sink_high_score_ge12
2024,True,associate,1,0.0,0,kitchen_sink_high_score_ge12
2024,True,entry,14,0.0,0,kitchen_sink_high_score_ge12
2024,True,mid-senior,2111,0.05163429654192326,109,kitchen_sink_high_score_ge12
2024,True,other,4805,0.08949011446409989,430,kitchen_sink_high_score_ge12
2026,False,associate,27,0.2222222222222222,6,kitchen_sink_high_score_ge12
2026,False,entry,327,0.13761467889908258,45,kitchen_sink_high_score_ge12
2026,False,mid-senior,3223,0.28172510083772884,908,kitchen_sink_high_score_ge12
2026,False,other,26459,0.26675233379946334,7058,kitchen_sink_high_score_ge12
2026,True,associate,3,0.0,0,kitchen_sink_high_score_ge12
2026,True,entry,63,0.06349206349206349,4,kitchen_sink_high_score_ge12
2026,True,mid-senior,416,0.20192307692307693,84,kitchen_sink_high_score_ge12
2026,True,other,4544,0.16461267605633803,748,kitchen_sink_high_score_ge12
2024,False,associate,83,0.012048192771084338,1,kitchen_sink_high_score_ge20
2024,False,entry,227,0.013215859030837005,3,kitchen_sink_high_score_ge20
2024,False,mid-senior,5596,0.03520371694067191,197,kitchen_sink_high_score_ge20
2024,False,other,15395,0.02702176031178954,416,kitchen_sink_high_score_ge20
2024,True,associate,1,0.0,0,kitchen_sink_high_score_ge20
2024,True,entry,14,0.0,0,kitchen_sink_high_score_ge20
2024,True,mid-senior,2111,0.03505447655139744,74,kitchen_sink_high_score_ge20
2024,True,other,4805,0.030801248699271592,148,kitchen_sink_high_score_ge20
2026,False,associate,27,0.14814814814814814,4,kitchen_sink_high_score_ge20
2026,False,entry,327,0.03669724770642202,12,kitchen_sink_high_score_ge20
2026,False,mid-senior,3223,0.13744958113558797,443,kitchen_sink_high_score_ge20
2026,False,other,26459,0.14074605994179673,3724,kitchen_sink_high_score_ge20
2026,True,associate,3,0.0,0,kitchen_sink_high_score_ge20
2026,True,entry,63,0.031746031746031744,2,kitchen_sink_high_score_ge20
2026,True,mid-senior,416,0.08653846153846154,36,kitchen_sink_high_score_ge20
2026,True,other,4544,0.078125,355,kitchen_sink_high_score_ge20
2024,False,associate,83,0.7710843373493976,64,aspiration_ratio_gt1
2024,False,entry,227,0.23788546255506607,54,aspiration_ratio_gt1
2024,False,mid-senior,5596,0.1887062187276626,1056,aspiration_ratio_gt1
2024,False,other,15395,0.18648911984410524,2871,aspiration_ratio_gt1
2024,True,associate,1,0.0,0,aspiration_ratio_gt1
2024,True,entry,14,0.21428571428571427,3,aspiration_ratio_gt1
