company,period,is_aggregator,n_posts_before,mean_pairwise_cos_before,mean_pairwise_cos_after,n_posts_after,sim_drop
Teradata,2026,True,8,0.9967969655990601,0.6575192809104919,7.0,0.3392776846885681
SMX,2026,True,8,1.0000001192092896,0.7277972102165222,23.0,0.27220290899276733
Intuit,2026,True,7,0.9075943827629089,0.66294926404953,59.0,0.2446451187133789
ClifyX,2026,True,7,0.7191013097763062,0.4761309325695038,6.0,0.24297037720680237
Raas Infotek,2026,True,7,0.7956704497337341,0.5778101682662964,16.0,0.21786028146743774
"Selectek, Inc.",2024,False,16,0.7451989650726318,0.5330343246459961,6.0,0.21216464042663574
HDR,2024,False,61,0.7757096290588379,0.5663334131240845,8.0,0.20937621593475342
Microsoft,2026,True,5,0.7822529077529907,0.5747305154800415,170.0,0.20752239227294922
BCforward,2026,True,8,0.785489022731781,0.578626811504364,14.0,0.206862211227417
IBM,2026,True,7,0.8549424409866333,0.6689510345458984,59.0,0.18599140644073486
MetLife,2026,True,6,0.8290290236473083,0.6498696208000183,8.0,0.17915940284729004
System One,2024,True,5,0.6665815711021423,0.5071871280670166,5.0,0.15939444303512573
Lorven Technologies Inc.,2026,True,17,0.6122937202453613,0.47038328647613525,15.0,0.14191043376922607
Abbott,2026,True,5,0.724279522895813,0.5829418897628784,20.0,0.14133763313293457
Amazon,2026,True,12,0.6802066564559937,0.5425989627838135,237.0,0.13760769367218018
System One,2026,True,9,0.711627185344696,0.5816476941108704,16.0,0.12997949123382568
New Charter Technologies,2024,False,12,0.7166889309883118,0.5929736495018005,5.0,0.12371528148651123
Turing,2026,True,55,0.8077385425567627,0.6845987439155579,5.0,0.12313979864120483
Canonical,2026,False,113,0.8064255714416504,0.6871069073677063,7.0,0.11931866407394409
Cliff Services Inc,2026,True,10,0.7553340196609497,0.6401049494743347,7.0,0.11522907018661499
YO IT Consulting,2026,False,193,0.6675368547439575,0.5558832883834839,14.0,0.11165356636047363
Snap Inc.,2026,False,23,0.7834667563438416,0.6744968891143799,11.0,0.10896986722946167
Exelon,2026,False,13,0.8797227144241333,0.774234414100647,5.0,0.10548830032348633
Visionary Innovative Technology Solutions LLC,2026,True,6,0.5349211096763611,0.4303349554538727,11.0,0.1045861542224884
KDA CONSULTING INC,2026,False,13,0.7437353134155273,0.6394365429878235,5.0,0.10429877042770386
Thermo Fisher Scientific,2024,False,9,0.6169180274009705,0.5130099058151245,6.0,0.10390812158584595
BDO USA,2026,False,29,0.8463379144668579,0.7424361109733582,7.0,0.10390180349349976
AppFolio,2026,False,22,0.7169494032859802,0.6138219833374023,5.0,0.10312741994857788
Turner Construction Company,2026,False,13,0.7217707633972168,0.6199194192886353,5.0,0.10185134410858154
Pearson,2026,False,55,0.750914990901947,0.6564217209815979,9.0,0.09449326992034912
