company_industry,arshkon,scraped,arshkon_pct,scraped_pct
IT Services and IT Consulting,1028,467,23.34,11.07
Software Development,732,1050,16.62,24.89
Financial Services,439,317,9.97,7.52
Staffing and Recruiting,229,52,5.2,1.23
Information Services,121,14,2.75,0.33
Defense and Space Manufacturing,118,145,2.68,3.44
"Technology, Information and Internet",115,257,2.61,6.09
Information Technology & Services,100,25,2.27,0.59
Hospitals and Health Care,75,49,1.7,1.16
Retail,72,36,1.63,0.85
"Technology, Information and Media",70,27,1.59,0.64
Banking,69,20,1.57,0.47
Motor Vehicle Manufacturing,65,18,1.48,0.43
Computer and Network Security,57,22,1.29,0.52
Insurance,56,48,1.27,1.14
Business Consulting and Services,54,86,1.23,2.04
Entertainment Providers,50,32,1.14,0.76
Manufacturing,43,11,0.98,0.26
"Appliances, Electrical, and Electronics Manufacturing",42,22,0.95,0.52
Telecommunications,40,36,0.91,0.85
Medical Equipment Manufacturing,38,19,0.86,0.45
Pharmaceutical Manufacturing,37,4,0.84,0.09
Semiconductor Manufacturing,31,58,0.7,1.38
Advertising Services,29,8,0.66,0.19
Aviation and Aerospace Component Manufacturing,27,50,0.61,1.19
Airlines and Aviation,25,11,0.57,0.26
Computer Hardware Manufacturing,25,5,0.57,0.12
Biotechnology Research,23,16,0.52,0.38
Accounting,20,8,0.45,0.19
Higher Education,20,8,0.45,0.19
Engineering Services,19,10,0.43,0.24
Utilities,16,9,0.36,0.21
Human Resources Services,16,5,0.36,0.12
Consumer Services,16,6,0.36,0.14
Oil and Gas,14,8,0.32,0.19
Government Administration,14,3,0.32,0.07
Investment Banking,14,2,0.32,0.05
Broadcast Media Production and Distribution,13,2,0.3,0.05
Automation Machinery Manufacturing,13,11,0.3,0.26
"Transportation, Logistics, Supply Chain and Storage",12,3,0.27,0.07
Computer Games,12,12,0.27,0.28
Real Estate,12,18,0.27,0.43
Internet Marketplace Platforms,12,16,0.27,0.38
Industrial Machinery Manufacturing,10,8,0.23,0.19
Machinery Manufacturing,10,5,0.23,0.12
Wellness and Fitness Services,10,8,0.23,0.19
Hospitality,10,3,0.23,0.07
Education Administration Programs,9,4,0.2,0.09
Health and Human Services,9,0,0.2,0.0
IT System Custom Software Development,9,23,0.2,0.55
Gambling Facilities and Casinos,8,2,0.18,0.05
Computers and Electronics Manufacturing,8,31,0.18,0.73
Food and Beverage Services,8,1,0.18,0.02
Investment Management,8,7,0.18,0.17
Environmental Services,7,0,0.16,0.0
Wireless Services,7,1,0.16,0.02
Services for Renewable Energy,7,0,0.16,0.0
Chemical Manufacturing,7,1,0.16,0.02
Construction,7,5,0.16,0.12
Marketing Services,6,24,0.14,0.57
