,kaggle_arshkon,kaggle_arshkon_pct,kaggle_asaniczka,kaggle_asaniczka_pct,scraped,scraped_pct
associate,65,3.23,158,1.03,67,2.87
director,10,0.5,86,0.56,21,0.9
entry,89,4.42,124,0.81,132,5.65
mid-senior,1851,91.86,14918,97.59,2116,90.58
