,kaggle_arshkon,kaggle_asaniczka,scraped,kaggle_arshkon_share,kaggle_asaniczka_share,scraped_share
AK,2,7,0,0.000589101620029455,0.00033266799733865603,0.0
AL,16,250,0,0.00471281296023564,0.011880999904952,0.0
AR,13,123,0,0.003829160530191458,0.0058454519532363846,0.0
AZ,75,408,93,0.022091310751104567,0.019389791844881665,0.023226773226773228
CA,578,3248,933,0.17025036818851252,0.1543579507651364,0.233016983016983
CO,77,585,115,0.02268041237113402,0.027801539777587682,0.02872127872127872
CT,24,425,17,0.007069219440353461,0.0201976998384184,0.004245754245754246
DC,32,206,54,0.00942562592047128,0.009789943921680448,0.013486513486513486
DE,10,188,26,0.0029455081001472753,0.008934511928523904,0.006493506493506494
FL,127,879,111,0.0374079528718704,0.041773595665811236,0.027722277722277724
GA,140,568,158,0.041237113402061855,0.026993631784050946,0.039460539460539464
HI,0,65,0,0.0,0.0030890599752875204,0.0
IA,15,212,0,0.004418262150220913,0.010075087919399296,0.0
ID,8,37,0,0.00235640648011782,0.001758387985932896,0.0
IL,156,908,175,0.0459499263622975,0.043151791654785665,0.043706293706293704
IN,29,335,1,0.008541973490427098,0.01592053987263568,0.00024975024975024975
KS,18,144,17,0.005301914580265096,0.006843455945252352,0.004245754245754246
KY,14,63,0,0.004123711340206186,0.0029940119760479044,0.0
LA,3,71,0,0.0008836524300441826,0.0033742039730063683,0.0
MA,116,870,196,0.03416789396170839,0.04134587966923296,0.04895104895104895
MD,68,996,118,0.020029455081001474,0.04733390362132877,0.029470529470529472
ME,10,64,0,0.0029455081001472753,0.003041535975667712,0.0
MI,76,568,73,0.022385861561119293,0.026993631784050946,0.018231768231768232
MN,54,265,85,0.015905743740795286,0.01259385989924912,0.021228771228771228
MO,25,280,15,0.007363770250368188,0.01330671989354624,0.0037462537462537465
MS,3,40,0,0.0008836524300441826,0.0019009599847923202,0.0
MT,1,61,0,0.0002945508100147275,0.0028989639768082884,0.0
NC,126,527,168,0.03711340206185567,0.025045147799638817,0.04195804195804196
ND,3,7,0,0.0008836524300441826,0.00033266799733865603,0.0
NE,9,112,0,0.002650957290132548,0.0053226879574184965,0.0
NH,17,184,21,0.005007363770250369,0.008744415930044673,0.005244755244755245
NJ,118,648,119,0.03475699558173785,0.030795551753635585,0.02972027972027972
NM,9,89,0,0.002650957290132548,0.0042296359661629125,0.0
NV,17,150,0,0.005007363770250369,0.0071285999429712005,0.0
NY,221,1017,294,0.06509572901325479,0.048331907613344736,0.07342657342657342
OH,94,714,60,0.027687776141384388,0.033932135728542916,0.014985014985014986
OK,8,93,0,0.00235640648011782,0.0044197319646421445,0.0
OR,13,164,31,0.003829160530191458,0.007793935937648513,0.007742257742257742
PA,105,727,109,0.030927835051546393,0.03454994772360042,0.027222777222777224
RI,10,117,6,0.0029455081001472753,0.005560307955517536,0.0014985014985014985
SC,10,133,1,0.0029455081001472753,0.006320691949434464,0.00024975024975024975
SD,0,32,0,0.0,0.001520767987833856,0.0
TN,23,240,44,0.006774668630338734,0.01140575990875392,0.01098901098901099
TX,411,1422,459,0.12106038291605302,0.06757912745936698,0.11463536463536464
UT,13,317,0,0.003829160530191458,0.015065107879479137,0.0
VA,269,1326,234,0.0792341678939617,0.06301682349586542,0.05844155844155844
VT,0,16,0,0.0,0.000760383993916928,0.0
WA,184,725,270,0.05419734904270987,0.034454899724360805,0.06743256743256744
WI,40,395,1,0.011782032400589101,0.01877197984982416,0.00024975024975024975
WV,5,19,0,0.0014727540500736377,0.0009029559927763521,0.0
WY,0,2,0,0.0,9.5047999239616e-05,0.0
