source,metric,n,mean,median,std,p25,p75
kaggle_arshkon,description_length,4438,3452.0,3123.5,2162.3,1581.8,4949.8
kaggle_arshkon,core_length,4438,2931.9,2724.0,1802.1,1448.0,4042.0
kaggle_asaniczka,description_length,21626,4148.6,3948.0,2064.4,2602.2,5647.0
kaggle_asaniczka,core_length,21626,2827.4,2535.0,1865.7,1389.0,3811.0
scraped,description_length,4219,5228.6,5110.0,2326.8,3525.0,6856.0
scraped,core_length,4219,4600.5,4420.0,2110.5,3068.0,5981.0
