bert_label,embedding_high,regex,title_lookup_llm
-1,0.014969259556268377,0.9187383052659717,0.06629243517775996
0,0.008456659619450317,0.9534883720930233,0.03805496828752643
1,0.02056555269922879,0.9254498714652957,0.05398457583547558
2,0.00949367088607595,0.9430379746835443,0.04746835443037975
3,0.006430868167202572,0.9421221864951769,0.05144694533762058
4,0.020066889632107024,0.9431438127090301,0.03678929765886288
5,0.0037735849056603774,0.9509433962264151,0.045283018867924525
6,0.023715415019762844,0.9011857707509882,0.07509881422924901
7,0.03902439024390244,0.9121951219512195,0.04878048780487805
8,0.0,0.8974358974358975,0.10256410256410256
9,0.009259259259259259,0.9444444444444444,0.046296296296296294
10,0.0,0.9813084112149533,0.018691588785046728
11,0.0,1.0,0.0
12,0.13541666666666666,0.25,0.6145833333333334
13,0.0,0.9891304347826086,0.010869565217391304
14,0.047058823529411764,0.4,0.5529411764705883
15,0.047619047619047616,0.9166666666666666,0.03571428571428571
16,0.014705882352941176,0.9558823529411765,0.029411764705882353
17,0.014925373134328358,0.8955223880597015,0.08955223880597014
18,0.0,0.9838709677419355,0.016129032258064516
19,0.034482758620689655,0.7758620689655172,0.1896551724137931
20,0.0,1.0,0.0
21,0.0,1.0,0.0
22,0.0,0.9285714285714286,0.07142857142857142
23,0.2545454545454545,0.4727272727272727,0.2727272727272727
24,0.0,0.9387755102040817,0.061224489795918366
25,0.06382978723404255,0.9148936170212766,0.02127659574468085
26,0.0,1.0,0.0
27,0.0,0.9772727272727273,0.022727272727272728
28,0.0,0.9761904761904762,0.023809523809523808
29,0.05128205128205128,0.8974358974358975,0.05128205128205128
30,0.0,0.9736842105263158,0.02631578947368421
31,0.0,1.0,0.0
32,0.02857142857142857,0.9428571428571428,0.02857142857142857
33,0.0,1.0,0.0
34,0.0967741935483871,0.8709677419354839,0.03225806451612903
35,0.0,1.0,0.0
