,nmf_0,nmf_1,nmf_2,nmf_3,nmf_4,nmf_5,nmf_6,nmf_7,nmf_8,nmf_9,nmf_10,nmf_11
bert_0,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.07142857142857142,0.0,0.034482758620689655,0.0,0.36363636363636365,0.07142857142857142,0.0,0.07142857142857142,0.034482758620689655
bert_1,0.42857142857142855,0.07142857142857142,0.034482758620689655,0.07142857142857142,0.0,0.034482758620689655,0.0,0.034482758620689655,0.034482758620689655,0.0,0.07142857142857142,0.0
bert_2,0.0,0.034482758620689655,0.36363636363636365,0.07142857142857142,0.07142857142857142,0.034482758620689655,0.0,0.034482758620689655,0.0,0.0,0.034482758620689655,0.07142857142857142
bert_3,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.034482758620689655
bert_4,0.1111111111111111,0.034482758620689655,0.034482758620689655,0.07142857142857142,0.0,0.07142857142857142,0.0,0.1111111111111111,0.0,0.0,0.2,0.0
bert_5,0.07142857142857142,0.034482758620689655,0.07142857142857142,0.034482758620689655,0.0,0.15384615384615385,0.0,0.2,0.034482758620689655,0.034482758620689655,0.25,0.07142857142857142
bert_6,0.034482758620689655,0.1111111111111111,0.0,0.07142857142857142,0.034482758620689655,0.36363636363636365,0.0,0.07142857142857142,0.1111111111111111,0.034482758620689655,0.034482758620689655,0.034482758620689655
bert_7,0.0,0.07142857142857142,0.0,0.034482758620689655,0.0,0.07142857142857142,0.0,0.034482758620689655,0.36363636363636365,0.0,0.0,0.07142857142857142
bert_8,0.0,0.0,0.5,0.1111111111111111,0.034482758620689655,0.034482758620689655,0.0,0.0,0.0,0.034482758620689655,0.0,0.07142857142857142
bert_9,0.0,0.0,0.034482758620689655,0.034482758620689655,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.0,0.0
bert_10,0.0,0.034482758620689655,0.2,0.25,0.034482758620689655,0.0,0.0,0.034482758620689655,0.034482758620689655,0.0,0.034482758620689655,0.07142857142857142
bert_11,0.0,0.0,0.07142857142857142,0.0,0.36363636363636365,0.0,0.0,0.0,0.0,0.0,0.0,0.034482758620689655
bert_12,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bert_13,0.0,0.034482758620689655,0.034482758620689655,0.36363636363636365,0.0,0.034482758620689655,0.0,0.0,0.034482758620689655,0.07142857142857142,0.0,0.0
bert_14,0.0,0.034482758620689655,0.0,0.034482758620689655,0.0,0.15384615384615385,0.0,0.034482758620689655,0.1111111111111111,0.0,0.0,0.034482758620689655
bert_15,0.0,0.2,0.0,0.034482758620689655,0.0,0.07142857142857142,0.0,0.0,0.15384615384615385,0.0,0.0,0.1111111111111111
bert_16,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.36363636363636365,0.0,0.034482758620689655,0.0,0.0,0.07142857142857142
bert_17,0.0,0.0,0.034482758620689655,0.07142857142857142,0.0,0.25,0.0,0.034482758620689655,0.1111111111111111,0.0,0.0,0.034482758620689655
bert_18,0.034482758620689655,0.07142857142857142,0.034482758620689655,0.0,0.07142857142857142,0.07142857142857142,0.0,0.0,0.0,0.0,0.034482758620689655,0.0
bert_19,0.034482758620689655,0.07142857142857142,0.0,0.034482758620689655,0.034482758620689655,0.25,0.0,0.034482758620689655,0.07142857142857142,0.0,0.034482758620689655,0.0
bert_20,0.0,0.034482758620689655,0.1111111111111111,0.30434782608695654,0.0,0.0,0.0,0.034482758620689655,0.034482758620689655,0.0,0.034482758620689655,0.034482758620689655
bert_21,0.0,0.0,0.1111111111111111,0.07142857142857142,0.0,0.034482758620689655,0.0,0.034482758620689655,0.0,0.15384615384615385,0.0,0.0
bert_22,0.0,0.034482758620689655,0.0,0.0,0.034482758620689655,0.0,0.0,0.0,0.034482758620689655,0.0,0.0,0.0
