meta_period,source,text_source,seniority_3level,n
2024,kaggle_arshkon,llm,junior,54
2024,kaggle_arshkon,llm,mid,5
2024,kaggle_arshkon,llm,senior,637
2024,kaggle_arshkon,llm,unknown,763
2024,kaggle_asaniczka,llm,junior,16
2024,kaggle_asaniczka,llm,mid,3
2024,kaggle_asaniczka,llm,senior,775
2024,kaggle_asaniczka,llm,unknown,411
2026-03,scraped,llm,junior,140
2026-03,scraped,llm,mid,12
2026-03,scraped,llm,senior,1282
2026-03,scraped,llm,unknown,1233
2026-04,scraped,llm,junior,109
2026-04,scraped,llm,mid,13
2026-04,scraped,llm,senior,1257
2026-04,scraped,llm,unknown,1290
