method,config,n_topics,stability_ari,coherence_cv,noise_pct,score,notes,rank,selected_for_downstream
NMF,k=5,5,1.0,0.6078860142445988,0.0,1.1078860142445988,dense factors; label every row,1,False
NMF,k=8,8,0.9806078068329792,0.5442757625344993,0.0,1.034579665950989,dense factors; label every row,2,False
NMF,k=15,15,0.784769812424404,0.5616165696355877,0.0,0.9540014758477896,dense factors; label every row,3,True
NMF,k=12,12,0.7676651205385973,0.5483152777242762,0.0,0.9321478379935748,dense factors; label every row,4,False
BERTopic,min_topic_size=20,6,0.5107918368428033,0.4882548480811104,0.0,0.743650766502512,embedding topics; outlier-aware,5,False
BERTopic,min_topic_size=30,6,0.4905081498945365,0.4667906666280233,0.0164814814814814,0.7079243712049212,embedding topics; outlier-aware,6,False
BERTopic,min_topic_size=50,3,0.5061913740365777,0.4099096533162226,0.0077777777777777,0.661060895890067,embedding topics; outlier-aware,7,False
