definition,n,S1,S2,S3,S4,S5
S1,31308,1.0,0.012776287210936502,0.01903666794429539,0.547272262680465,0.19701034879264087
S2,400,1.0,1.0,0.0275,0.6375,0.29
S3,596,1.0,0.018456375838926176,1.0,0.5604026845637584,0.33557046979865773
S4,26217,0.6535454094671397,0.009726513331044741,0.012739825304191937,1.0,0.3336003356600679
S5,8746,0.7052366796249714,0.013263206037045507,0.0228675966155957,1.0,1.0
