source,n_entry,n_kw,n_mgr,n_llm,n_unknown
kaggle_arshkon,175,92.0,0.0,83.0,0.0
kaggle_asaniczka,204,112.0,0.0,92.0,0.0
scraped,1275,1002.0,0.0,273.0,0.0
