a,b,intersection,union,jaccard_top200,a_in_b_pct
asaniczka_associate,arshkon_entry,50,350,0.14285714285714285,0.25
asaniczka_associate,arshkon_associate,42,341,0.12316715542521994,0.21
asaniczka_associate,arshkon_mid_senior,69,331,0.2084592145015106,0.345
asaniczka_associate,asaniczka_mid_senior,75,325,0.23076923076923078,0.375
