state_normalized,kaggle_arshkon,kaggle_asaniczka,scraped
CA,620.0,3405.0,5128.0
TX,475.0,1551.0,2689.0
NY,258.0,1123.0,1753.0
VA,292.0,1387.0,1167.0
WA,193.0,745.0,1742.0
MA,127.0,917.0,1164.0
IL,177.0,1023.0,878.0
NC,145.0,598.0,1157.0
MD,77.0,1021.0,744.0
NJ,150.0,747.0,831.0
GA,160.0,642.0,868.0
FL,142.0,951.0,541.0
PA,133.0,783.0,673.0
CO,87.0,617.0,669.0
OH,112.0,775.0,342.0
