company_industry,kaggle_arshkon,scraped,total,kaggle_arshkon_pct,scraped_pct
Software Development,789.0,6200.0,6989.0,21.0,35.8
IT Services and IT Consulting,1213.0,2684.0,3897.0,32.3,15.5
Financial Services,473.0,2071.0,2544.0,12.6,12.0
"Technology, Information and Internet",123.0,1380.0,1503.0,3.3,8.0
Defense and Space Manufacturing,121.0,785.0,906.0,3.2,4.5
Staffing and Recruiting,274.0,595.0,869.0,7.3,3.4
"Information Services and Technology, Information and Internet",0.0,517.0,517.0,0.0,3.0
Business Consulting and Services,63.0,404.0,467.0,1.7,2.3
Hospitals and Health Care,79.0,307.0,386.0,2.1,1.8
"Accounting, IT Services and IT Consulting, and Business Consulting and Services",0.0,340.0,340.0,0.0,2.0
Insurance,64.0,275.0,339.0,1.7,1.6
Semiconductor Manufacturing,42.0,280.0,322.0,1.1,1.6
Entertainment Providers,50.0,241.0,291.0,1.3,1.4
Aviation and Aerospace Component Manufacturing,25.0,235.0,260.0,0.7,1.4
Retail,75.0,185.0,260.0,2.0,1.1
Information Technology & Services,126.0,129.0,255.0,3.4,0.7
"Technology, Information and Media",85.0,155.0,240.0,2.3,0.9
Information Services,156.0,84.0,240.0,4.1,0.5
"Accounting, Financial Services, and Business Consulting and Services",0.0,236.0,236.0,0.0,1.4
Internet Publishing,2.0,202.0,204.0,0.1,1.2
