source,seniority_final_source,n
kaggle_arshkon,native_backfill,1991
kaggle_arshkon,title_keyword,1890
kaggle_arshkon,title_prior,96
kaggle_arshkon,weak_title_level,54
kaggle_arshkon,description_explicit,29
kaggle_arshkon,weak_title_associate,6
kaggle_asaniczka,title_keyword,14512
kaggle_asaniczka,native_backfill,8701
scraped,native_backfill,10929
scraped,title_keyword,10902
scraped,weak_title_level,462
scraped,description_explicit,83
scraped,title_prior,76
scraped,weak_title_associate,17
