source,desc_n,desc_mean,desc_median,desc_std,desc_q25,desc_q75,core_mean,core_median,core_std,core_q25,core_q75
kaggle_arshkon,5019,3315.8,2954.0,2152.8,1512.0,4780.0,2738.5,2504.0,1709.1,1329.0,3804.5
kaggle_asaniczka,23213,4052.2,3825.0,2077.0,2495.0,5552.0,2696.1,2419.0,1767.4,1325.0,3629.0
scraped,24095,5203.1,5158.0,2385.2,3493.0,6781.0,4313.8,4171.0,2004.3,2864.0,5527.0
