pair,chi2,p_value,dof,n_states
kaggle_arshkon vs kaggle_asaniczka,277.68,7.33e-48,19,20
kaggle_arshkon vs scraped,279.78,2.74e-48,19,20
kaggle_asaniczka vs scraped,1809.4,0.00e+00,19,20
