source_1,source_2,titles_1,titles_2,intersection,union,jaccard,unique_to_s1,unique_to_s2
kaggle_arshkon,kaggle_asaniczka,2161,7557,449,9269,0.0484,1712,7108
kaggle_arshkon,scraped,2161,9894,420,11635,0.0361,1741,9474
kaggle_asaniczka,scraped,7557,9894,695,16756,0.0415,6862,9199
