source,swe_classification_tier,n
kaggle_arshkon,embedding_high,77
kaggle_arshkon,regex,4477
kaggle_arshkon,title_lookup_llm,465
kaggle_asaniczka,embedding_high,395
kaggle_asaniczka,regex,20411
kaggle_asaniczka,title_lookup_llm,2407
scraped,embedding_high,322
scraped,regex,22697
scraped,title_lookup_llm,1076
