source_1,source_2,top50_overlap,overlap_names
kaggle_arshkon,kaggle_asaniczka,12,"Amazon, Amazon Web Services (AWS), Capital One, ClearanceJobs, Dice, Discover Financial Services, Diverse Lynx, Jobot, Leidos, Motion Recruitment, Northrop Grumman, Palo Alto Networks"
kaggle_arshkon,scraped,17,"Actalent, Amazon, Amazon Web Services (AWS), Apex Systems, BAE Systems, Inc., Capital One, Deloitte, General Motors, Google, JPMorgan Chase & Co., Jobot, Leidos, Microsoft, Motion Recruitment, Tata Consultancy Services, TikTok, Wells Fargo"
kaggle_asaniczka,scraped,13,"Amazon, Amazon Web Services (AWS), Anduril Industries, Capital One, Epic, Jobot, KPMG US, Kforce Inc, Leidos, Lockheed Martin, Motion Recruitment, PricewaterhouseCoopers, Walmart"
