seniority_final,kaggle_arshkon,kaggle_asaniczka,scraped,total,kaggle_arshkon_pct,kaggle_asaniczka_pct,scraped_pct
associate,228,1450,622,2300,5.61,6.25,2.77
director,22,91,222,335,0.54,0.39,0.99
entry,830,130,3255,4215,20.41,0.56,14.49
mid-senior,2986,21542,18370,42898,73.44,92.8,81.76
