source,column,n,mean,median,std,p25,p75
kaggle_arshkon,description_length,5019,3316.0,2954.0,2153.0,1512.0,4780.0
kaggle_arshkon,core_length,5019,2738.0,2504.0,1709.0,1329.0,3804.0
kaggle_asaniczka,description_length,23213,4052.0,3825.0,2077.0,2495.0,5552.0
kaggle_asaniczka,core_length,23213,2696.0,2419.0,1767.0,1325.0,3629.0
scraped,description_length,24095,5203.0,5158.0,2385.0,3493.0,6781.0
scraped,core_length,24095,4314.0,4171.0,2004.0,2864.0,5527.0
