metric,within_2024_KS,arshkon_vs_scraped_KS,asaniczka_vs_scraped_KS,amplification_factor
Description length (KS),0.1841,0.3348,0.2082,1.82
Core length (KS),0.05,0.334,0.3777,7.55
Seniority (Cramér V),0.3841,0.0873,0.2773,
Geography (Cramér V),0.1387,0.2608,0.3398,
