pair,set_a_size,set_b_size,intersection,union,jaccard
kaggle_arshkon vs kaggle_asaniczka,2298,4946,741,6503,0.1139
kaggle_arshkon vs scraped,2298,5100,813,6585,0.1235
kaggle_asaniczka vs scraped,4946,5100,1167,8879,0.1314
